frame,nrD,nrV,nrD_ratio,nrV_ratio,head_angle,dhead_dt,theta_rad,theta_deg,bin_index,binned_theta_deg,binned_theta_rad,polar_x,polar_y
20,0.8849792170041907,0.8972506490228126,0.4965572813438544,0.5034427186561455,75.43948137,3.1855956689999942,0.0422020961261688,2.4180019946348774,0,5.0,0.0872664625997164,0.9961946980917455,0.0871557427476581
21,0.8344205421350449,1.0126943484259994,0.4517426319277829,0.548257368072217,77.049065922,0.0779958070000006,0.0010122871630597,0.0579997820985972,0,5.0,0.0872664625997164,0.9961946980917455,0.0871557427476581
22,0.8790475262253891,0.8261119113345061,0.5155221892231481,0.4844778107768519,75.595472984,-4.201888864999994,6.227658575682788,356.8185526350773,35,355.0,6.19591884457987,0.9961946980917455,-0.0871557427476583
23,0.9147064715152254,0.8076086577233365,0.5310912364333805,0.4689087635666195,68.64528819200001,-5.588989261999998,6.201946105231506,355.34533659736405,35,355.0,6.19591884457987,0.9961946980917455,-0.0871557427476583
24,0.9283991893026664,0.8256743976259598,0.5292817794082908,0.4707182205917093,64.41749446,-4.283597256,6.2167856419767995,356.1955794227987,35,355.0,6.19591884457987,0.9961946980917455,-0.0871557427476583
25,0.9540490974800808,0.8085681632284785,0.5412684413952465,0.4587315586047534,60.07809368000001,-5.3679917859999975,6.194071714527852,354.8941672438076,35,355.0,6.19591884457987,0.9961946980917455,-0.0871557427476583
26,0.9768749258050944,0.7961502796934856,0.5509650527107957,0.4490349472892043,53.681510888000005,-7.815340526,6.13861383127015,351.71666459241203,35,355.0,6.19591884457987,0.9961946980917455,-0.0871557427476583
27,0.9581954366371194,0.7812811106534231,0.550852748276274,0.449147251723726,44.44741262800001,-8.691478248500001,6.090076854130125,348.9357006519656,34,345.0,6.021385919380437,0.9659258262890684,-0.2588190451025207
28,1.0000353093431729,0.7644429900389406,0.5667597667216231,0.4332402332783769,36.298554391,-11.390292319500004,5.979121402573936,342.57842156382776,34,345.0,6.021385919380437,0.9659258262890684,-0.2588190451025207
29,1.0043546542225503,0.7462209830711098,0.5737282256339714,0.4262717743660286,21.666827989,-16.731507053,5.625615870012349,322.32404651352437,32,325.0,5.672320068981571,0.8191520442889916,-0.5735764363510465
30,1.0000590313679802,0.7272979296243719,0.5789533107236009,0.421046689276399,2.835540284999999,-18.918385808000004,4.861164286831508,278.52419715516817,27,275.0,4.799655442984406,0.0871557427476578,-0.9961946980917455
31,1.0838274667107146,0.6842939115111167,0.6129825022537202,0.3870174977462797,-16.169943627000002,-17.602985957999998,3.9693970647455954,227.4296990215398,22,225.0,3.9269908169872414,-0.7071067811865477,-0.7071067811865475
32,1.1222222883331447,0.6707091111614848,0.6259147944251875,0.3740852055748125,-32.370431630999995,-15.783949691499998,3.595274319805787,205.9940447166394,20,205.0,3.577924966588375,-0.90630778703665,-0.4226182617406993
33,1.0756566397307583,0.7922230798970711,0.5758703991631112,0.4241296008368888,-47.73784301,-14.6312644435,3.4389946696854405,197.0398803409624,19,195.0,3.4033920413889422,-0.9659258262890684,-0.2588190451025203
34,1.020578484852603,0.7977299974155576,0.5612790650239567,0.4387209349760432,-61.632960518,-11.997655352,3.3338512298545933,191.0156049951671,19,195.0,3.4033920413889422,-0.9659258262890684,-0.2588190451025203
35,1.038340275404383,0.8727253205141579,0.5433305259756465,0.4566694740243536,-71.733153714,-8.626619836000007,3.261277754035618,186.8574511261451,18,185.0,3.2288591161895095,-0.9961946980917455,-0.0871557427476579
36,1.021881823642352,0.863540040512698,0.5419910753502943,0.4580089246497058,-78.88620019000001,-5.266604446999999,3.2082557781180836,183.81951568462608,18,185.0,3.2288591161895095,-0.9961946980917455,-0.0871557427476579
37,1.066822882991224,0.9244999879668104,0.5357357656812182,0.4642642343187819,-82.266362608,-1.0882718779999934,3.154820519375809,180.7579008815042,18,185.0,3.2288591161895095,-0.9961946980917455,-0.0871557427476579
38,1.1266606537917716,0.7987109056064875,0.5851653143478912,0.4148346856521089,-81.062743946,3.1132168379999996,3.1032064920726334,177.80063495335924,17,175.0,3.0543261909900763,-0.9961946980917455,0.0871557427476586
39,1.2277868208831957,0.8741497133619994,0.5841217376832425,0.4158782623167575,-76.039928932,6.902030040999996,3.051072209918551,174.81356061798613,17,175.0,3.0543261909900763,-0.9961946980917455,0.0871557427476586
40,1.2067620217032924,0.7580260975771899,0.6141944822758885,0.3858055177241115,-67.258683864,10.111817854999998,2.992368062261475,171.45006071732286,17,175.0,3.0543261909900763,-0.9961946980917455,0.0871557427476586
