a,time
1.2447707873985574,0.0
1.1821542925779847,0.1
1.1185620468111106,0.2
1.057459132958456,0.3
1.003020815756581,0.4
0.9594296381450812,0.5
0.930009726202623,0.6
0.916451726046606,0.7
0.9183618323541833,0.8
0.9332675810687757,0.9
0.9570701347522542,1.0
0.9848016294788613,1.1
1.011473674488418,1.2
1.032809987287462,1.3
1.045729439290959,1.4
1.0485471343153343,1.5
1.0409465537656863,1.6
1.023815815661607,1.7
0.9990311101235347,1.8
0.9692281142849721,1.9
0.9375562101580149,2.0
0.9073860032679129,2.1
0.8819494105420966,2.2
0.8639274876667867,2.3
0.8550454460068683,2.4
0.8557649698578622,2.5
0.8651651017029292,2.6
0.8810704417743322,2.7
0.9004276802625069,2.8
0.919866370807507,2.9
0.9363280532042437,3.0
0.9476254819105752,3.1
0.9528071845977983,3.2
0.9522474228795188,3.3
0.94744537086343,3.4
0.9405840747244234,3.5
0.9339546238428539,3.6
0.9293827321745208,3.7
0.9277967096683322,3.8
0.9290451902150194,3.9
0.9320134283029606,4.0
0.9350099160086236,4.1
0.9363198471029444,4.2
0.9347712308398353,4.3
0.9301511566602823,4.4
0.9233491873442774,4.5
0.9161812160216503,4.6
0.9109360665042782,4.7
0.9097601798971127,4.8
0.9140321019518787,4.9
0.9238730036253127,5.0
0.9379020639509589,5.1
0.9532932210111422,5.2
0.9661370156945656,5.3
0.9720644477903527,5.4
0.9670480680162017,5.5
0.9482564623448424,5.6
0.9148049427323369,5.7
0.8682300523508799,5.8
0.8125363000542859,5.9
0.7537328245084143,6.0
0.698890891003087,6.1
0.654884055269835,6.2
0.6270798813214602,6.3
0.6182933586424053,6.4
0.6282635281608029,6.5
0.6537833213347874,6.6
0.6894375527354779,6.7
0.7287433109508816,6.8
0.7653939868265711,6.9
0.7943100013583168,7.0
0.8122872918186019,7.1
0.8181703236988844,7.2
0.8126092944047074,7.3
0.7975496422203134,7.4
0.7756279935548646,7.5
0.7496205064466896,7.6
0.722032398199355,7.7
0.6948589002831624,7.8
0.6695061820118946,7.9
0.646840357298243,8.0
0.6273272080586121,8.1
0.6112248093561516,8.2
0.5987892317245775,8.3
0.5904497269517055,8.4
0.5869088964738434,8.5
0.5891307596064685,8.6
0.5981983516823687,8.7
0.6150515313137321,8.8
0.6401500913339775,8.9
0.6731387895089571,9.0
0.7126096517057705,9.1
0.7560538511858723,9.2
0.8000653267869,9.3
0.8408021568517903,9.4
0.8746392827820684,9.5
0.8988762243801054,9.6
0.9123200738943134,9.7
0.9155686612507924,9.8
0.9108801468275294,9.9
0.9016229026137523,10.0
0.8914236882414343,10.1
0.8832321712194507,10.2
0.8785586055000303,10.3
0.8771006617956966,10.4
0.8768648702607105,10.5
0.8747438789956136,10.6
0.8673814839561049,10.7
0.8520856603732584,10.8
0.8275555698405987,10.9
0.7942623290792562,11.0
0.7544321353852106,11.1
0.7116829121035493,11.2
0.6704303954289519,11.3
0.6351962246263696,11.4
0.6099306110273355,11.5
0.5974293827050616,11.6
0.5989017569003563,11.7
0.6137395758528766,11.8
0.6395417449264181,11.9
0.6724384907891712,12.0
0.7077201206957657,12.1
0.7407012841519252,12.2
0.7676632877411622,12.3
0.786649499725331,12.4
0.797879998120977,12.5
0.8036227089801664,12.6
0.807500595242377,12.7
0.8133873822235215,12.8
0.8241882902609976,12.9
0.8408617831479178,13.0
0.8619850715650023,13.1
0.8840118113694797,13.2
0.9021641688513764,13.3
0.9117116020779412,13.4
0.9092772287710948,13.5
0.8938121681593679,13.6
0.8669823525542347,13.7
0.8328817495740763,13.8
0.7971659934658721,13.9
0.7658406672618985,14.0
0.7440073040749813,14.1
0.7348601426040738,14.2
0.7391507503045657,14.3
0.7552202211750844,14.4
0.7795670680946665,14.5
0.8077989911120652,14.6
0.8357316487027378,14.7
0.8603664385054502,14.8
0.8805126312221021,14.9
