a,time
1.0755418719146832,0.0
1.169927524557889,0.1
1.2537336603133804,0.2
1.3125141385421597,0.3
1.3400636046361922,0.4
1.338835878852347,0.5
1.3173731609204826,0.6
1.2865660125440659,0.7
1.2563108178014535,0.8
1.2332686795241892,0.9
1.219822173163861,1.0
1.2142400142603806,1.1
1.212081896577104,1.2
1.208524367022387,1.3
1.2006540042554794,1.4
1.188502731306611,1.5
1.1742031040237797,1.6
1.1598616320710087,1.7
1.1456807735674157,1.8
1.1297195745659452,1.9
1.1095266084356474,2.0
1.084590717487924,2.1
1.058044792572404,2.2
1.036537319021763,2.3
1.0281693280846689,2.4
1.0392334806265369,2.5
1.0709317688470432,2.6
1.11741704888004,2.7
1.1664123019989365,2.8
1.2030041786132135,2.9
1.215772894561943,3.0
1.2026880275522793,3.1
1.17340817330891,3.2
1.1458712462399385,3.3
1.1381166760615702,3.4
1.1593378310751,3.5
1.2050235287997608,3.6
1.2588778888639647,3.7
1.3003465985269032,3.8
1.3135708957003314,3.9
1.2932779168052875,4.0
1.2453691096433146,4.1
1.1830289122695845,4.2
1.1211149799288596,4.3
1.0715885282325226,4.4
1.0413374590927151,4.5
1.0321439547246907,4.6
1.0417212392180357,4.7
1.064911548923525,4.8
1.0948106874638182,4.9
1.1240566135705448,5.0
1.1464139680910994,5.1
1.1582745288588998,5.2
1.159330933357386,5.3
1.1519293773714856,5.4
1.139387638023814,5.5
1.1242989226291051,5.6
1.107896897288704,5.7
1.0907676435198905,5.8
1.074099713799396,5.9
1.0601419011509492,6.0
1.0511001165791483,6.1
1.0470311063724105,6.2
1.044377745255794,6.3
1.0366983389043285,6.4
1.0177823524865162,6.5
0.9856150455993244,6.6
0.9448063640362561,6.7
0.9058060121244822,6.8
0.8810542014683813,6.9
0.8799585587976784,7.0
0.905149080800835,7.1
0.9516082700421863,7.2
1.0086957506760172,7.3
1.0638166663874138,7.4
1.1061366535530066,7.5
1.129209988616946,7.6
1.1321017444953554,7.7
1.119066707731167,7.8
1.0980172821211567,7.9
1.078096813074041,8.0
1.0668601845140955,8.1
