frame,order,x,y,angle,segment_position,intensity
0,1,330,332,16.909271810540787,0.0,2416
0,1,330,332,16.909271810540787,0.025,2064
0,1,330,332,16.909271810540787,0.05,2432
0,1,330,332,16.909271810540787,0.07500000000000001,3072
0,1,330,332,16.909271810540787,0.1,2960
0,1,330,332,16.909271810540787,0.125,3968
0,1,330,332,16.909271810540787,0.15000000000000002,4592
0,1,330,332,16.909271810540787,0.17500000000000002,4176
0,1,330,332,16.909271810540787,0.2,4736
0,1,330,332,16.909271810540787,0.225,5056
0,1,330,332,16.909271810540787,0.25,5200
0,1,330,332,16.909271810540787,0.275,5104
0,1,330,332,16.909271810540787,0.30000000000000004,4720
0,1,330,332,16.909271810540787,0.325,4304
0,1,330,332,16.909271810540787,0.35000000000000003,3504
0,1,330,332,16.909271810540787,0.375,2960
0,1,330,332,16.909271810540787,0.4,3088
0,1,330,332,16.909271810540787,0.42500000000000004,2624
0,1,330,332,16.909271810540787,0.45,2304
0,1,330,332,16.909271810540787,0.47500000000000003,2368
0,1,330,332,16.909271810540787,0.5,2368
0,1,330,332,16.909271810540787,0.525,2176
0,1,330,332,16.909271810540787,0.55,2144
0,1,330,332,16.909271810540787,0.5750000000000001,2272
0,1,330,332,16.909271810540787,0.6000000000000001,2416
0,1,330,332,16.909271810540787,0.625,2416
0,1,330,332,16.909271810540787,0.65,2432
0,1,330,332,16.909271810540787,0.675,2720
0,1,330,332,16.909271810540787,0.7000000000000001,2432
0,1,330,332,16.909271810540787,0.7250000000000001,2784
0,1,330,332,16.909271810540787,0.75,2896
0,1,330,332,16.909271810540787,0.775,2784
0,1,330,332,16.909271810540787,0.8,2480
0,1,330,332,16.909271810540787,0.8250000000000001,2400
0,1,330,332,16.909271810540787,0.8500000000000001,2144
0,1,330,332,16.909271810540787,0.875,1808
0,1,330,332,16.909271810540787,0.9,1648
0,1,330,332,16.909271810540787,0.925,1712
0,1,330,332,16.909271810540787,0.9500000000000001,1584
0,1,330,332,16.909271810540787,0.9750000000000001,1632
0,2,319,341,3.862982871505024,0.0,1664
0,2,319,341,3.862982871505024,0.025,1680
0,2,319,341,3.862982871505024,0.05,1632
0,2,319,341,3.862982871505024,0.07500000000000001,1504
0,2,319,341,3.862982871505024,0.1,1744
0,2,319,341,3.862982871505024,0.125,1664
0,2,319,341,3.862982871505024,0.15000000000000002,1664
0,2,319,341,3.862982871505024,0.17500000000000002,1664
0,2,319,341,3.862982871505024,0.2,1600
0,2,319,341,3.862982871505024,0.225,1776
0,2,319,341,3.862982871505024,0.25,1664
0,2,319,341,3.862982871505024,0.275,2000
0,2,319,341,3.862982871505024,0.30000000000000004,2144
0,2,319,341,3.862982871505024,0.325,2624
0,2,319,341,3.862982871505024,0.35000000000000003,3072
0,2,319,341,3.862982871505024,0.375,2976
0,2,319,341,3.862982871505024,0.4,2656
0,2,319,341,3.862982871505024,0.42500000000000004,2896
0,2,319,341,3.862982871505024,0.45,2352
0,2,319,341,3.862982871505024,0.47500000000000003,2336
0,2,319,341,3.862982871505024,0.5,2336
0,2,319,341,3.862982871505024,0.525,2336
0,2,319,341,3.862982871505024,0.55,3056
0,2,319,341,3.862982871505024,0.5750000000000001,2896
0,2,319,341,3.862982871505024,0.6000000000000001,3328
0,2,319,341,3.862982871505024,0.625,2624
0,2,319,341,3.862982871505024,0.65,2224
0,2,319,341,3.862982871505024,0.675,1632
0,2,319,341,3.862982871505024,0.7000000000000001,1824
0,2,319,341,3.862982871505024,0.7250000000000001,1584
0,2,319,341,3.862982871505024,0.75,1536
0,2,319,341,3.862982871505024,0.775,1632
0,2,319,341,3.862982871505024,0.8,1440
0,2,319,341,3.862982871505024,0.8250000000000001,1776
0,2,319,341,3.862982871505024,0.8500000000000001,1520
0,2,319,341,3.862982871505024,0.875,1760
0,2,319,341,3.862982871505024,0.9,1520
0,2,319,341,3.862982871505024,0.925,1440
0,2,319,341,3.862982871505024,0.9500000000000001,1792
0,2,319,341,3.862982871505024,0.9750000000000001,1792
0,3,335,326,178.1523897340053,0.0,1600
0,3,335,326,178.1523897340053,0.025,1696
0,3,335,326,178.1523897340053,0.05,1776
0,3,335,326,178.1523897340053,0.07500000000000001,1552
0,3,335,326,178.1523897340053,0.1,1552
0,3,335,326,178.1523897340053,0.125,1776
0,3,335,326,178.1523897340053,0.15000000000000002,1824
0,3,335,326,178.1523897340053,0.17500000000000002,2272
0,3,335,326,178.1523897340053,0.2,2592
0,3,335,326,178.1523897340053,0.225,3776
0,3,335,326,178.1523897340053,0.25,4288
0,3,335,326,178.1523897340053,0.275,3824
0,3,335,326,178.1523897340053,0.30000000000000004,3792
0,3,335,326,178.1523897340053,0.325,3088
0,3,335,326,178.1523897340053,0.35000000000000003,2176
0,3,335,326,178.1523897340053,0.375,1936
0,3,335,326,178.1523897340053,0.4,2000
0,3,335,326,178.1523897340053,0.42500000000000004,1824
0,3,335,326,178.1523897340053,0.45,1968
0,3,335,326,178.1523897340053,0.47500000000000003,2528
0,3,335,326,178.1523897340053,0.5,2528
0,3,335,326,178.1523897340053,0.525,4192
0,3,335,326,178.1523897340053,0.55,5104
0,3,335,326,178.1523897340053,0.5750000000000001,5200
0,3,335,326,178.1523897340053,0.6000000000000001,4352
0,3,335,326,178.1523897340053,0.625,3040
0,3,335,326,178.1523897340053,0.65,2496
0,3,335,326,178.1523897340053,0.675,1792
0,3,335,326,178.1523897340053,0.7000000000000001,1680
0,3,335,326,178.1523897340053,0.7250000000000001,1760
0,3,335,326,178.1523897340053,0.75,1664
