frame,25px_sum,25px_mean,10px_sum,10px_mean
0,0,nan,0,nan
1,11872,474.88,4848,484.8
2,0,nan,0,nan
3,12416,496.64,5088,508.8
4,13168,526.72,5616,561.6
5,12864,514.56,5376,537.6
6,13312,532.48,5648,564.8
7,13152,526.08,5504,550.4
8,13152,526.08,5520,552.0
9,13760,550.4,5728,572.8
10,13584,543.36,5520,552.0
11,14496,579.84,6048,604.8
12,13952,558.08,5856,585.6
13,12960,518.4,5376,537.6
14,13280,531.2,5488,548.8
15,14160,566.4,5920,592.0
16,14096,563.84,5872,587.2
17,12912,516.48,5296,529.6
18,13504,540.16,5584,558.4
19,13680,547.2,5664,566.4
20,14128,565.12,5936,593.6
21,13840,553.6,5792,579.2
22,13184,527.36,5456,545.6
23,12944,517.76,5344,534.4
24,0,nan,0,nan
25,0,nan,0,nan
26,0,nan,0,nan
27,12544,501.76,5216,521.6
28,12720,508.8,5312,531.2
29,13024,520.96,5456,545.6
30,13152,526.08,5424,542.4
31,13088,523.52,5392,539.2
32,13392,535.68,5504,550.4
33,0,nan,0,nan
34,12432,497.28,5136,513.6
35,13280,531.2,5552,555.2
36,13168,526.72,5520,552.0
37,14000,560.0,5872,587.2
38,14176,567.04,5936,593.6
39,14496,579.84,6064,606.4
40,14400,576.0,5984,598.4
41,13888,555.52,5744,574.4
42,14160,566.4,5872,587.2
43,14592,583.68,6048,604.8
44,14400,576.0,6064,606.4
45,14080,563.2,5888,588.8
46,13600,544.0,5600,560.0
47,13136,525.44,5376,537.6
48,13408,536.32,5552,555.2
49,13568,542.72,5616,561.6
50,13600,544.0,5664,566.4
51,13312,532.48,5472,547.2
52,13056,522.24,5472,547.2
53,13728,549.12,5760,576.0
54,13600,544.0,5712,571.2
55,14240,569.6,6032,603.2
56,14080,563.2,5920,592.0
57,13312,532.48,5472,547.2
58,13552,542.08,5568,556.8
59,13456,538.24,5552,555.2
60,13056,522.24,5488,548.8
61,13040,521.6,5504,550.4
62,12768,510.72,5376,537.6
63,12624,504.96,5312,531.2
64,12416,496.64,5088,508.8
65,0,nan,0,nan
66,12784,511.36,5296,529.6
67,12208,488.32,5104,510.4
68,12448,497.92,5104,510.4
