frame,25px_sum,25px_mean,10px_sum,10px_mean
201,22496,899.84,9776,977.6
202,20816,832.64,9024,902.4
203,0,nan,0,nan
204,20768,830.72,8912,891.2
205,0,nan,0,nan
206,20704,828.16,8816,881.6
207,22336,893.44,9536,953.6
208,0,nan,0,nan
209,25376,1015.04,11984,1198.4
210,25072,1002.88,11728,1172.8
211,23680,947.2,10384,1038.4
212,24736,989.44,10928,1092.8
213,24512,980.48,11248,1124.8
214,22416,896.64,9936,993.6
215,24160,966.4,11424,1142.4
216,25936,1037.44,13104,1310.4
217,23280,931.2,10848,1084.8
218,23424,936.96,11264,1126.4
219,24528,981.12,11776,1177.6
220,23792,951.68,11440,1144.0
221,26704,1068.16,14000,1400.0
222,22416,896.64,10592,1059.2
223,27920,1116.8,15184,1518.4
224,0,nan,0,nan
225,0,nan,0,nan
226,19904,796.16,8576,857.6
227,0,nan,0,nan
228,19296,771.84,8112,811.2
229,0,nan,0,nan
230,20528,821.12,8720,872.0
231,24192,967.68,11040,1104.0
232,27856,1114.24,14000,1400.0
233,25584,1023.36,12144,1214.4
234,24112,964.48,11008,1100.8
235,0,nan,0,nan
236,27616,1104.64,13904,1390.4
237,26928,1077.12,13136,1313.6
238,0,nan,0,nan
239,26416,1056.64,13904,1390.4
240,24384,975.36,11888,1188.8
241,22224,888.96,10304,1030.4
242,21616,864.64,9936,993.6
243,0,nan,0,nan
244,0,nan,0,nan
245,0,nan,0,nan
246,0,nan,0,nan
247,0,nan,0,nan
248,0,nan,0,nan
249,0,nan,0,nan
250,21776,871.04,9504,950.4
251,23184,927.36,10592,1059.2
252,0,nan,0,nan
253,0,nan,0,nan
254,0,nan,0,nan
255,21440,857.6,9216,921.6
256,0,nan,0,nan
257,0,nan,0,nan
258,0,nan,0,nan
259,0,nan,0,nan
260,0,nan,0,nan
261,0,nan,0,nan
262,27840,1113.6,14336,1433.6
263,24560,982.4,11488,1148.8
264,30704,1228.16,16272,1627.2
265,37984,1519.36,21488,2148.8
266,35616,1424.64,19616,1961.6
267,0,nan,0,nan
268,0,nan,0,nan
269,23136,925.44,10416,1041.6
270,21088,843.52,8992,899.2
271,21200,848.0,9024,902.4
272,0,nan,0,nan
273,0,nan,0,nan
274,0,nan,0,nan
275,20016,800.64,8608,860.8
276,0,nan,0,nan
277,0,nan,0,nan
278,0,nan,0,nan
279,19456,778.24,8416,841.6
280,0,nan,0,nan
281,0,nan,0,nan
282,0,nan,0,nan
283,20512,820.48,9120,912.0
284,20112,804.48,8784,878.4
285,0,nan,0,nan
286,20272,810.88,8784,878.4
287,24832,993.28,11792,1179.2
288,24336,973.44,11536,1153.6
289,24752,990.08,11696,1169.6
290,25920,1036.8,12752,1275.2
