frame,25px_sum,25px_mean,10px_sum,10px_mean
0,39248,1569.92,17200,1720.0
1,0,nan,0,nan
2,37552,1502.08,16672,1667.2
3,46752,1870.08,21792,2179.2
4,46048,1841.92,21056,2105.6
5,47504,1900.16,22608,2260.8
6,44752,1790.08,21296,2129.6
7,42320,1692.8,19472,1947.2
8,38032,1521.28,17888,1788.8
9,39232,1569.28,18976,1897.6
10,45024,1800.96,20704,2070.4
11,39744,1589.76,18160,1816.0
12,33504,1340.16,15600,1560.0
13,0,nan,0,nan
14,0,nan,0,nan
15,29616,1184.64,13456,1345.6
16,0,nan,0,nan
17,0,nan,0,nan
18,46128,1845.12,22064,2206.4
19,52352,2094.08,25392,2539.2
20,51904,2076.16,26272,2627.2
21,44720,1788.8,21792,2179.2
22,37728,1509.12,16976,1697.6
23,43232,1729.28,20240,2024.0
24,35072,1402.88,16096,1609.6
25,39936,1597.44,17904,1790.4
26,56752,2270.08,27792,2779.2
27,49664,1986.56,24400,2440.0
28,50672,2026.88,25136,2513.6
29,40176,1607.04,18208,1820.8
30,30816,1232.64,13472,1347.2
31,31056,1242.24,14080,1408.0
32,37776,1511.04,17360,1736.0
33,31040,1241.6,14128,1412.8
34,37888,1515.52,17216,1721.6
35,0,nan,0,nan
36,38160,1526.4,17616,1761.6
37,40096,1603.84,18608,1860.8
38,34448,1377.92,15760,1576.0
39,0,nan,0,nan
40,0,nan,0,nan
41,31296,1251.84,13776,1377.6
42,0,nan,0,nan
43,30848,1233.92,14304,1430.4
44,40320,1612.8,19040,1904.0
45,46544,1861.76,22000,2200.0
46,41600,1664.0,19504,1950.4
47,44144,1765.76,21280,2128.0
48,36944,1477.76,17440,1744.0
49,31488,1259.52,14976,1497.6
50,35648,1425.92,16944,1694.4
51,35424,1416.96,16320,1632.0
52,30992,1239.68,15024,1502.4
53,35360,1414.4,16544,1654.4
54,38704,1548.16,18816,1881.6
55,39360,1574.4,19008,1900.8
56,44816,1792.64,20560,2056.0
57,38528,1541.12,17408,1740.8
58,37392,1495.68,17568,1756.8
59,46000,1840.0,22224,2222.4
60,49040,1961.6,23744,2374.4
61,47488,1899.52,23008,2300.8
62,46784,1871.36,22320,2232.0
63,40304,1612.16,18592,1859.2
64,37312,1492.48,17264,1726.4
65,47408,1896.32,22480,2248.0
66,55904,2236.16,27200,2720.0
67,54736,2189.44,27072,2707.2
68,57424,2296.96,29696,2969.6
69,50624,2024.96,25120,2512.0
70,48048,1921.92,23312,2331.2
71,45424,1816.96,21440,2144.0
72,42160,1686.4,19616,1961.6
73,36928,1477.12,16512,1651.2
74,34608,1384.32,15968,1596.8
75,33792,1351.68,15744,1574.4
76,33088,1323.52,15760,1576.0
77,35440,1417.6,16224,1622.4
78,36048,1441.92,16384,1638.4
79,34544,1381.76,16048,1604.8
80,35760,1430.4,17024,1702.4
81,31968,1278.72,14864,1486.4
82,38016,1520.64,17840,1784.0
83,45376,1815.04,22000,2200.0
84,40512,1620.48,18352,1835.2
85,38368,1534.72,18064,1806.4
86,42928,1717.12,20960,2096.0
87,41680,1667.2,20128,2012.8
88,53664,2146.56,25936,2593.6
89,41728,1669.12,19536,1953.6
90,49648,1985.92,23168,2316.8
91,51856,2074.24,26320,2632.0
92,57824,2312.96,28704,2870.4
93,55696,2227.84,26992,2699.2
94,50368,2014.72,24160,2416.0
95,43568,1742.72,20128,2012.8
96,34400,1376.0,15216,1521.6
97,30960,1238.4,13776,1377.6
98,43392,1735.68,19808,1980.8
