frame,25px_sum,25px_mean,10px_sum,10px_mean
0,8624,344.96,4752,475.2
1,11024,440.96,5040,504
2,13280,531.2,6176,617.6
3,0,nan,0,nan
4,13696,547.84,6608,660.8
5,13456,538.24,6384,638.4
6,14832,593.28,7824,782.4
7,14160,566.4,7008,700.8
8,14720,588.8,7680,768
9,0,nan,0,nan
10,0,nan,0,nan
11,15632,625.28,8128,812.8
12,15248,609.92,7776,777.6
13,15248,609.92,7872,787.2
14,14688,587.52,7344,734.4
15,14960,598.4,7792,779.2
16,15088,603.52,7936,793.6
17,13424,536.96,6560,656
18,13872,554.88,7248,724.8
19,13696,547.84,7360,736
20,14048,561.92,7360,736
21,12608,504.32,6336,633.6
22,12496,499.84,5888,588.8
23,12912,516.48,6208,620.8
24,11072,442.88,5200,520
25,11760,470.4,5408,540.8
26,13248,529.92,6480,648
27,13488,539.52,6816,681.6
28,10720,428.8,4768,476.8
29,11792,471.68,5472,547.2
30,10336,413.44,5024,502.4
31,13296,531.84,6608,660.8
32,14224,568.96,7408,740.8
33,15456,618.24,8336,833.6
34,17264,690.56,9456,945.6
35,15328,613.12,7984,798.4
36,15376,615.04,8032,803.2
37,14896,595.84,7536,753.6
38,14064,562.56,6544,654.4
39,15360,614.4,7936,793.6
40,15344,613.76,8080,808
41,14304,572.16,7536,753.6
42,13584,543.36,6960,696
43,14320,572.8,7488,748.8
44,14832,593.28,8224,822.4
45,14480,579.2,7840,784
46,14176,567.04,7280,728
47,12112,484.48,5728,572.8
48,12576,503.04,6112,611.2
49,12240,489.6,5776,577.6
50,10592,423.68,4944,494.4
51,11088,443.52,5088,508.8
52,12624,504.96,6080,608
53,11776,471.04,5472,547.2
54,12208,488.32,5760,576
55,12560,502.4,6096,609.6
56,13440,537.6,6752,675.2
57,12896,515.84,6016,601.6
58,15536,621.44,8096,809.6
59,15936,637.44,8272,827.2
60,15888,635.52,8096,809.6
61,15776,631.04,8224,822.4
62,14320,572.8,6992,699.2
63,15104,604.16,7568,756.8
64,13664,546.56,6672,667.2
65,14208,568.32,7104,710.4
66,13632,545.28,6896,689.6
67,13696,547.84,6848,684.8
68,13584,543.36,6752,675.2
69,13216,528.64,6592,659.2
70,13360,534.4,6512,651.2
71,11504,460.16,5376,537.6
72,11440,457.6,5152,515.2
73,10272,410.88,4496,449.6
74,10960,438.4,4800,480
75,10464,418.56,4704,470.4
76,11632,465.28,5488,548.8
77,13040,521.6,6880,688
78,14048,561.92,7584,758.4
79,13872,554.88,7088,708.8
80,15408,616.32,7952,795.2
81,15472,618.88,7856,785.6
82,0,nan,0,nan
83,13632,545.28,6816,681.6
84,12560,502.4,5952,595.2
85,11904,476.16,5616,561.6
86,11600,464,5504,550.4
87,11456,458.24,5680,568
88,11904,476.16,5744,574.4
89,11296,451.84,5456,545.6
90,11392,455.68,5520,552
91,11408,456.32,5792,579.2
92,10512,420.48,5104,510.4
93,10960,438.4,5504,550.4
94,11136,445.44,5264,526.4
95,11232,449.28,5472,547.2
96,11008,440.32,5248,524.8
97,9616,384.64,4384,438.4
98,10160,406.4,4560,456
99,10352,414.08,4624,462.4
100,12112,484.48,6032,603.2
101,10736,429.44,5008,500.8
102,9744,389.76,4224,422.4
103,11536,461.44,5712,571.2
104,11904,476.16,5504,550.4
105,0,nan,0,nan
106,13504,540.16,7088,708.8
107,14032,561.28,6912,691.2
108,14528,581.12,7824,782.4
109,14464,578.56,7440,744
110,14464,578.56,7840,784
111,14192,567.68,7312,731.2
112,13792,551.68,6656,665.6
113,13728,549.12,6720,672
114,13840,553.6,7200,720
115,12400,496,6048,604.8
116,12656,506.24,6720,672
117,12064,482.56,6064,606.4
118,12640,505.6,6640,664
119,12640,505.6,6560,656
120,11488,459.52,5728,572.8
121,11840,473.6,5760,576
122,10992,439.68,4992,499.2
123,9280,371.2,4112,411.2
124,11280,451.2,5360,536
125,10288,411.52,4944,494.4
126,10384,415.36,4944,494.4
127,9040,361.6,4096,409.6
128,10560,422.4,4976,497.6
129,12720,508.8,6640,664
130,13776,551.04,7440,744
131,14656,586.24,7792,779.2
132,14912,596.48,7952,795.2
133,0,nan,0,nan
134,14512,580.48,7504,750.4
135,13552,542.08,6880,688
136,12928,517.12,6368,636.8
137,12912,516.48,6512,651.2
138,12464,498.56,6352,635.2
139,11664,466.56,5616,561.6
140,11424,456.96,5872,587.2
141,10736,429.44,5456,545.6
142,0,nan,0,nan
143,0,nan,0,nan
144,11424,456.96,5632,563.2
145,11888,475.52,5872,587.2
146,11280,451.2,5312,531.2
147,12256,490.24,5952,595.2
148,11360,454.4,5232,523.2
149,11760,470.4,5568,556.8
150,12368,494.72,5920,592
151,13360,534.4,7008,700.8
152,13744,549.76,7568,756.8
153,13776,551.04,7744,774.4
154,0,nan,0,nan
155,0,nan,0,nan
156,14736,589.44,7984,798.4
157,14432,577.28,7584,758.4
158,14496,579.84,7808,780.8
159,15152,606.08,8144,814.4
160,14352,574.08,7360,736
161,13168,526.72,6544,654.4
162,12944,517.76,6672,667.2
163,0,nan,0,nan
164,13472,538.88,7104,710.4
165,12784,511.36,6688,668.8
166,12768,510.72,6304,630.4
