frame,25px_sum,25px_mean,10px_sum,10px_mean
201,23408,936.32,11040,1104
202,20592,823.68,9264,926.4
203,20128,805.12,9088,908.8
204,22544,901.76,10704,1070.4
205,18688,747.52,8272,827.2
206,21120,844.8,9648,964.8
207,20336,813.44,9088,908.8
208,20000,800,9024,902.4
209,19088,763.52,8288,828.8
210,20576,823.04,9408,940.8
211,20000,800,9024,902.4
212,22096,883.84,10928,1092.8
213,20048,801.92,9696,969.6
214,21664,866.56,9936,993.6
215,22784,911.36,10704,1070.4
216,21056,842.24,9328,932.8
217,21712,868.48,10000,1000
218,19632,785.28,8816,881.6
219,22304,892.16,10896,1089.6
220,0,nan,0,nan
221,38656,1546.24,23136,2313.6
222,25888,1035.52,13552,1355.2
223,23040,921.6,11216,1121.6
224,19840,793.6,8720,872
225,19728,789.12,8832,883.2
226,19680,787.2,8704,870.4
227,21232,849.28,9200,920
228,22144,885.76,10096,1009.6
229,0,nan,0,nan
230,25376,1015.04,12672,1267.2
231,25680,1027.2,12896,1289.6
232,24480,979.2,11360,1136
233,23088,923.52,10832,1083.2
234,0,nan,0,nan
235,25520,1020.8,13088,1308.8
236,25504,1020.16,13248,1324.8
237,0,nan,0,nan
238,0,nan,0,nan
239,24464,978.56,12416,1241.6
240,23232,929.28,11728,1172.8
241,21712,868.48,10240,1024
242,20592,823.68,9296,929.6
243,19456,778.24,8720,872
244,20880,835.2,9856,985.6
245,21088,843.52,9552,955.2
246,20592,823.68,9376,937.6
247,21728,869.12,10288,1028.8
248,21520,860.8,10480,1048
249,17200,688,8064,806.4
250,15856,634.24,7440,744
251,18432,737.28,7920,792
252,19408,776.32,8736,873.6
253,18864,754.56,8720,872
254,20096,803.84,9200,920
255,19728,789.12,8640,864
256,20176,807.04,8784,878.4
257,19936,797.44,8832,883.2
258,20080,803.2,8800,880
259,21712,868.48,10064,1006.4
260,20192,807.68,8864,886.4
261,21264,850.56,9344,934.4
262,24880,995.2,11248,1124.8
263,26944,1077.76,13168,1316.8
264,21328,853.12,9536,953.6
265,0,nan,0,nan
266,0,nan,0,nan
267,0,nan,0,nan
268,0,nan,0,nan
269,28096,1123.84,15184,1518.4
270,24640,985.6,11968,1196.8
271,22128,885.12,10368,1036.8
272,19584,783.36,8896,889.6
273,23520,940.8,11680,1168
274,0,nan,0,nan
275,22624,904.96,11168,1116.8
276,21024,840.96,9936,993.6
277,21456,858.24,10048,1004.8
278,24208,968.32,12480,1248
279,22864,914.56,11072,1107.2
280,25168,1006.72,12752,1275.2
281,29584,1183.36,15824,1582.4
282,37504,1500.16,21664,2166.4
283,29888,1195.52,15728,1572.8
284,0,nan,0,nan
285,0,nan,0,nan
286,19712,788.48,9440,944
287,19520,780.8,9104,910.4
288,18656,746.24,8640,864
289,19232,769.28,9376,937.6
290,18208,728.32,8512,851.2
291,18576,743.04,8080,808
292,19424,776.96,8736,873.6
293,19216,768.64,8336,833.6
294,19344,773.76,8576,857.6
295,20640,825.6,9536,953.6
296,26176,1047.04,12672,1267.2
297,22208,888.32,10352,1035.2
298,19680,787.2,9088,908.8
299,20224,808.96,9472,947.2
300,19824,792.96,8896,889.6
301,18688,747.52,8160,816
302,17376,695.04,7552,755.2
303,19984,799.36,9152,915.2
304,19488,779.52,9088,908.8
305,19696,787.84,9248,924.8
306,19696,787.84,9104,910.4
307,18880,755.2,8656,865.6
308,23008,920.32,11296,1129.6
309,22704,908.16,10992,1099.2
310,20432,817.28,9456,945.6
311,22128,885.12,10640,1064
312,23856,954.24,11968,1196.8
313,24224,968.96,12704,1270.4
314,22384,895.36,11344,1134.4
315,21808,872.32,10544,1054.4
316,19984,799.36,9584,958.4
317,21152,846.08,9792,979.2
318,21152,846.08,9840,984
319,20944,837.76,9952,995.2
320,23008,920.32,12096,1209.6
321,21680,867.2,10672,1067.2
322,24624,984.96,13168,1316.8
323,21600,864,10224,1022.4
324,19488,779.52,9264,926.4
325,20352,814.08,9568,956.8
326,21376,855.04,9392,939.2
327,19216,768.64,8608,860.8
328,20528,821.12,9696,969.6
329,18400,736,8336,833.6
330,19440,777.6,9072,907.2
331,20704,828.16,9376,937.6
332,20672,826.88,9152,915.2
333,20800,832,9200,920
334,22944,917.76,11040,1104
335,21968,878.72,10384,1038.4
336,20304,812.16,9136,913.6
337,20944,837.76,9728,972.8
338,20608,824.32,9504,950.4
339,21072,842.88,9616,961.6
340,22592,903.68,11040,1104
341,20688,827.52,9392,939.2
342,23184,927.36,11312,1131.2
343,26048,1041.92,13792,1379.2
344,21216,848.64,9680,968
345,24176,967.04,12224,1222.4
346,21888,875.52,10432,1043.2
347,20096,803.84,9520,952
348,19456,778.24,9312,931.2
349,19696,787.84,9280,928
350,20192,807.68,9504,950.4
351,27120,1084.8,15072,1507.2
352,29104,1164.16,15888,1588.8
353,31024,1240.96,17568,1756.8
354,18784,751.36,9024,902.4
355,17936,717.44,7920,792
356,17728,709.12,7824,782.4
357,18560,742.4,8144,814.4
358,17584,703.36,7696,769.6
359,18848,753.92,8512,851.2
360,19616,784.64,8864,886.4
361,20112,804.48,9360,936
362,21568,862.72,10336,1033.6
363,21792,871.68,10736,1073.6
364,21072,842.88,9616,961.6
365,21472,858.88,9728,972.8
366,21808,872.32,10112,1011.2
367,20112,804.48,9344,934.4
368,18352,734.08,8240,824
369,19360,774.4,8784,878.4
370,20176,807.04,9328,932.8
371,22992,919.68,11552,1155.2
372,22416,896.64,11152,1115.2
373,0,nan,0,nan
374,0,nan,0,nan
375,0,nan,0,nan
376,19584,783.36,9008,900.8
377,18976,759.04,8640,864
378,19456,778.24,8880,888
379,18304,732.16,8304,830.4
380,19072,762.88,8752,875.2
381,20000,800,9312,931.2
382,18144,725.76,8160,816
383,20080,803.2,8992,899.2
384,23056,922.24,10736,1073.6
385,33408,1336.32,19488,1948.8
386,17840,713.6,8128,812.8
387,17760,710.4,8288,828.8
388,17344,693.76,7792,779.2
389,17856,714.24,7984,798.4
390,18784,751.36,8576,857.6
391,18832,753.28,8608,860.8
392,19184,767.36,8496,849.6
393,19536,781.44,8736,873.6
394,19312,772.48,8448,844.8
395,21552,862.08,10176,1017.6
396,20656,826.24,9200,920
397,21840,873.6,10080,1008
398,20736,829.44,9456,945.6
399,19232,769.28,8624,862.4
400,0,nan,0,nan
401,20656,826.24,9824,982.4
402,18992,759.68,8576,857.6
403,18336,733.44,8272,827.2
404,17952,718.08,8352,835.2
405,18096,723.84,8832,883.2
406,17392,695.68,8608,860.8
407,19520,780.8,9648,964.8
408,16480,659.2,7536,753.6
409,17008,680.32,8032,803.2
410,17504,700.16,8080,808
411,17648,705.92,8192,819.2
412,16560,662.4,7568,756.8
413,17440,697.6,7808,780.8
414,18432,737.28,8112,811.2
415,18976,759.04,8384,838.4
416,20832,833.28,9552,955.2
417,17088,683.52,7728,772.8
418,14848,593.92,6752,675.2
419,14704,588.16,6448,644.8
420,17056,682.24,7808,780.8
421,17456,698.24,8016,801.6
422,17632,705.28,8336,833.6
423,17520,700.8,7984,798.4
424,17184,687.36,8096,809.6
425,18240,729.6,8272,827.2
426,17680,707.2,7984,798.4
427,18656,746.24,8464,846.4
428,17344,693.76,7984,798.4
429,18448,737.92,8320,832
430,17728,709.12,8176,817.6
431,16784,671.36,7840,784
432,17168,686.72,8032,803.2
433,17184,687.36,8000,800
434,18080,723.2,8144,814.4
435,18160,726.4,8032,803.2
436,18304,732.16,8240,824
437,18448,737.92,8128,812.8
438,19808,792.32,9136,913.6
439,21792,871.68,10176,1017.6
440,20208,808.32,9120,912
441,20256,810.24,9024,902.4
442,20224,808.96,9168,916.8
443,20816,832.64,9760,976
444,0,nan,0,nan
445,22176,887.04,10704,1070.4
446,0,nan,0,nan
447,19792,791.68,9264,926.4
448,19040,761.6,8416,841.6
449,20320,812.8,9968,996.8
450,22000,880,11152,1115.2
451,20496,819.84,9280,928
452,21952,878.08,10128,1012.8
453,24240,969.6,12208,1220.8
454,22064,882.56,10592,1059.2
455,23184,927.36,11680,1168
456,22864,914.56,11376,1137.6
457,21264,850.56,9936,993.6
458,17808,712.32,8144,814.4
459,16832,673.28,7568,756.8
460,17184,687.36,7808,780.8
461,17776,711.04,8208,820.8
462,17872,714.88,7968,796.8
463,16800,672,7568,756.8
464,17728,709.12,7920,792
465,16944,677.76,7424,742.4
466,17520,700.8,7968,796.8
467,16608,664.32,7424,742.4
468,16848,673.92,7664,766.4
469,18208,728.32,8016,801.6
470,18912,756.48,8528,852.8
471,19424,776.96,9072,907.2
472,20912,836.48,9680,968
473,20944,837.76,9648,964.8
474,19728,789.12,8768,876.8
475,19008,760.32,8688,868.8
476,19568,782.72,9168,916.8
477,20736,829.44,9504,950.4
478,17584,703.36,7712,771.2
479,17328,693.12,7616,761.6
480,0,nan,0,nan
481,20256,810.24,9920,992
482,19792,791.68,8960,896
483,19120,764.8,9072,907.2
484,18800,752,8688,868.8
485,19088,763.52,8736,873.6
486,18416,736.64,8384,838.4
487,19808,792.32,9040,904
488,20096,803.84,9360,936
489,19264,770.56,8656,865.6
490,18960,758.4,8656,865.6
491,17136,685.44,7696,769.6
492,18416,736.64,8368,836.8
493,18464,738.56,8336,833.6
494,16864,674.56,7584,758.4
495,15904,636.16,6960,696
496,16016,640.64,6944,694.4
497,16528,661.12,7456,745.6
498,18688,747.52,8992,899.2
499,16768,670.72,7664,766.4
500,18976,759.04,8784,878.4
501,18288,731.52,8064,806.4
502,20976,839.04,10032,1003.2
503,19632,785.28,8976,897.6
504,19424,776.96,8800,880
505,18848,753.92,8672,867.2
506,22768,910.72,11824,1182.4
507,22384,895.36,11056,1105.6
508,20800,832,9616,961.6
509,20896,835.84,10096,1009.6
510,0,nan,0,nan
511,25616,1024.64,14384,1438.4
512,0,nan,0,nan
513,28224,1128.96,15216,1521.6
514,28416,1136.64,15040,1504
515,32896,1315.84,18112,1811.2
516,0,nan,0,nan
