frame,25px_sum,25px_mean,10px_sum,10px_mean
0,41776,1671.04,24288,2428.8
1,43792,1751.68,25632,2563.2
2,44288,1771.52,25888,2588.8
3,43792,1751.68,24528,2452.8
4,43584,1743.36,24672,2467.2
5,48640,1945.6,29312,2931.2
6,56432,2257.28,34976,3497.6
7,55712,2228.48,31760,3176.0
8,54288,2171.52,31440,3144.0
9,50688,2027.52,28752,2875.2
10,52656,2106.24,29392,2939.2
11,57616,2304.64,31728,3172.8
12,60240,2409.6,33088,3308.8
13,57488,2299.52,32352,3235.2
14,60656,2426.24,34400,3440.0
15,56816,2272.64,32272,3227.2
16,54192,2167.68,30672,3067.2
17,59152,2366.08,34032,3403.2
18,54272,2170.88,32000,3200.0
19,56656,2266.24,33728,3372.8
20,49984,1999.36,29392,2939.2
21,46560,1862.4,27520,2752.0
22,42080,1683.2,23936,2393.6
23,40992,1639.68,23648,2364.8
24,41392,1655.68,23392,2339.2
25,34256,1370.24,18592,1859.2
26,42416,1696.64,23456,2345.6
27,41952,1678.08,23824,2382.4
28,38528,1541.12,21088,2108.8
29,39744,1589.76,22464,2246.4
30,41888,1675.52,23632,2363.2
31,52704,2108.16,31344,3134.4
32,65584,2623.36,42912,4291.2
33,55520,2220.8,31984,3198.4
34,58528,2341.12,35520,3552.0
35,66160,2646.4,39216,3921.6
36,64608,2584.32,37744,3774.4
37,71072,2842.88,45328,4532.8
38,54992,2199.68,33664,3366.4
39,62528,2501.12,38704,3870.4
40,59744,2389.76,37632,3763.2
41,55104,2204.16,34720,3472.0
42,52976,2119.04,33264,3326.4
43,49504,1980.16,29664,2966.4
44,49472,1978.88,30672,3067.2
45,43184,1727.36,25136,2513.6
46,39696,1587.84,22000,2200.0
47,39744,1589.76,21376,2137.6
48,42000,1680.0,22800,2280.0
49,44960,1798.4,24240,2424.0
50,54528,2181.12,30752,3075.2
51,53984,2159.36,30096,3009.6
52,61392,2455.68,35040,3504.0
53,47552,1902.08,26976,2697.6
54,37616,1504.64,21056,2105.6
55,36784,1471.36,21344,2134.4
56,41584,1663.36,24336,2433.6
57,36624,1464.96,20944,2094.4
58,37424,1496.96,20288,2028.8
59,27504,1100.16,14096,1409.6
60,49520,1980.8,29984,2998.4
61,50320,2012.8,31440,3144.0
62,62256,2490.24,40256,4025.6
63,55248,2209.92,31728,3172.8
64,62608,2504.32,38768,3876.8
65,67072,2682.88,43264,4326.4
66,63520,2540.8,39328,3932.8
67,64544,2581.76,41360,4136.0
68,64192,2567.68,41856,4185.6
69,58176,2327.04,35744,3574.4
70,56160,2246.4,34160,3416.0
71,49552,1982.08,29616,2961.6
72,50784,2031.36,30528,3052.8
73,51488,2059.52,29504,2950.4
74,47792,1911.68,28032,2803.2
75,38912,1556.48,20800,2080.0
76,37424,1496.96,19824,1982.4
77,47600,1904.0,25952,2595.2
78,33888,1355.52,18608,1860.8
79,45536,1821.44,24992,2499.2
80,48272,1930.88,27344,2734.4
81,50656,2026.24,29232,2923.2
82,60784,2431.36,34624,3462.4
83,52832,2113.28,31568,3156.8
84,41520,1660.8,22656,2265.6
85,33216,1328.64,18064,1806.4
86,36144,1445.76,21136,2113.6
87,38736,1549.44,22400,2240.0
88,37440,1497.6,22064,2206.4
89,43648,1745.92,25120,2512.0
90,38112,1524.48,21504,2150.4
91,46128,1845.12,28752,2875.2
92,59216,2368.64,38992,3899.2
93,43104,1724.16,25296,2529.6
94,36000,1440.0,20096,2009.6
95,36144,1445.76,20432,2043.2
96,47664,1906.56,30048,3004.8
97,50832,2033.28,32368,3236.8
98,50816,2032.64,33216,3321.6
99,49680,1987.2,31312,3131.2
100,54224,2168.96,32240,3224.0
101,50160,2006.4,28800,2880.0
102,60320,2412.8,35024,3502.4
103,55088,2203.52,31424,3142.4
104,47712,1908.48,28816,2881.6
105,46992,1879.68,26912,2691.2
106,42928,1717.12,24720,2472.0
107,40656,1626.24,23680,2368.0
108,40368,1614.72,23328,2332.8
109,35168,1406.72,19072,1907.2
110,42976,1719.04,23488,2348.8
111,40032,1601.28,22832,2283.2
112,37392,1495.68,20992,2099.2
113,41744,1669.76,23968,2396.8
114,32496,1299.84,17776,1777.6
115,35152,1406.08,19712,1971.2
116,37808,1512.32,21680,2168.0
117,45712,1828.48,28992,2899.2
118,44960,1798.4,26544,2654.4
119,42000,1680.0,25088,2508.8
120,47632,1905.28,27472,2747.2
121,46768,1870.72,28544,2854.4
122,55392,2215.68,35888,3588.8
123,56208,2248.32,36528,3652.8
124,59248,2369.92,38976,3897.6
125,57424,2296.96,37152,3715.2
126,61520,2460.8,39392,3939.2
127,57392,2295.68,35632,3563.2
128,51248,2049.92,31216,3121.6
129,50688,2027.52,31920,3192.0
130,48736,1949.44,29872,2987.2
131,47088,1883.52,28064,2806.4
132,47808,1912.32,28784,2878.4
133,48208,1928.32,29152,2915.2
134,52272,2090.88,31536,3153.6
135,46080,1843.2,27792,2779.2
136,46032,1841.28,27664,2766.4
137,57808,2312.32,34416,3441.6
138,53392,2135.68,31648,3164.8
139,57312,2292.48,33312,3331.2
140,57920,2316.8,34800,3480.0
