RFP_raw,GCaMP_raw
39248,33664
,36768
37552,42704
46752,42992
46048,42960
47504,45120
44752,43664
42320,40032
38032,40752
39232,40656
45024,30736
39744,37104
33504,32288
,33600
,32672
29616,31104
,24976
,34768
46128,42208
52352,40656
51904,40640
44720,40832
37728,26240
43232,29424
35072,33712
39936,29872
56752,42656
49664,36928
50672,40256
40176,33520
30816,36944
31056,36256
37776,34592
31040,28320
37888,20464
,29760
38160,38176
40096,44976
34448,36000
,33744
,32768
31296,35072
,26112
30848,26544
40320,32976
46544,34752
41600,30688
44144,32448
36944,31168
31488,23728
35648,32864
35424,30512
30992,28592
35360,35008
38704,30720
39360,34384
44816,30784
38528,34016
37392,34688
46000,37696
49040,37440
47488,31232
46784,33680
40304,29600
37312,35632
47408,36304
55904,37616
54736,40176
57424,35936
50624,30864
48048,28368
45424,33200
42160,27344
36928,28800
34608,26912
33792,29136
33088,31376
35440,27040
36048,31744
34544,29504
35760,28960
31968,23472
38016,31744
45376,31920
40512,34336
38368,33120
42928,32144
41680,36544
53664,35504
41728,34096
49648,32736
51856,33424
57824,35344
55696,36064
50368,36704
43568,38048
34400,34256
30960,35856
43392,38288
34592,32928
42336,35856
41808,33184
,32592
37536,26896
36672,35744
41216,23824
34880,21616
47200,33632
47248,25456
39808,32688
56656,38064
59776,37520
60320,36560
50480,34464
50528,34704
43680,29616
49408,34416
48608,36336
42736,34976
37664,26816
39632,27408
37856,30800
43552,40672
48912,42880
44976,43056
36128,41392
40000,30688
37872,29968
30064,29280
34016,39200
63296,35424
51184,27184
55312,23216
38512,30928
48848,35552
53856,33488
47600,28896
53728,30128
58864,37408
61664,39264
62768,39488
48656,35888
47568,35536
36128,30288
33536,29440
35040,35088
39072,34256
37456,37664
44800,37168
45104,36256
46656,34624
49552,38032
41888,31984
49968,32016
52832,34544
61296,28736
45104,31984
36976,36784
35600,30816
33792,27680
33360,27824
28400,25728
,24256
,24960
34768,28016
32496,28400
46016,34112
37184,26176
40016,23824
36384,29632
43136,23680
34464,27952
36832,31936
48176,35520
62064,35808
60304,39264
64096,37984
57824,37552
46160,36064
40160,31104
31344,34816
34320,32656
31296,31344
32768,30240
32608,32608
35632,35696
38928,39232
40064,32560
36208,31744
32960,30016
,27024
,23408
,
,26944
42064,38224
48368,33072
47376,34368
48608,33488
44928,32256
40464,25952
39552,32976
45776,32080
53632,35456
49632,34912
44624,29600
35520,27552
31152,27712
,25712
,29024
34384,25968
32128,32400
33760,30832
34352,32352
37728,30768
40688,29104
37632,29264
27760,25616
,23312
,23504
,
,
,22832
33280,28688
36560,27664
37120,28096
33360,24976
,26128
29296,20656
29248,24880
,24496
29424,24784
,24992
34112,
33024,28192
31440,28720
37440,29920
37968,25808
47408,27312
46384,27456
44048,28704
41008,24480
32496,26096
37824,31328
48432,32448
42560,27472
39024,28608
37264,27408
,23616
29776,25488
29984,22944
,25248
,26432
27376,25440
37792,28144
30144,23936
,22160
,22512
,21680
,
,
31856,22480
36640,
35104,20352
29216,
,
,27584
30912,21712
26080,23024
40288,29344
31808,34016
54400,35088
52528,34752
51472,40096
44816,24688
49632,19840
34400,
25536,18640
,
,
,
,
,
,
,
,
,
25408,
38336,23328
35872,21168
34000,23600
46272,26800
51168,28688
55024,38560
62336,37888
46192,36448
42432,32080
54832,26208
48176,23184
34432,
,28480
55536,
51120,
45360,
53200,20336
51968,22800
60912,25952
48304,34688
49136,27664
55728,34000
44192,24816
42832,24480
36768,23072
36528,23984
41088,24032
44048,24224
49104,24048
58672,25888
51360,22560
47536,25584
64576,29488
59728,30400
55184,29456
53680,27264
53840,30384
59056,25808
61696,25088
57952,24784
66688,24736
59088,20192
59568,23616
62240,20656
62848,23440
53728,22512
51808,26192
56576,29856
62096,22848
53136,22496
44736,
38352,
37520,
41168,26912
42064,24800
38112,21968
47536,23360
56720,23856
52816,27424
62480,23792
56224,23760
65536,22800
67456,25152
71088,20624
63408,21408
59024,23008
58464,23920
64096,22160
61936,22624
64320,24704
54880,27600
41312,26800
39840,31744
56384,27936
50112,35776
44512,29504
42240,31248
42784,
28592,
,21312
29536,
42672,22240
38080,24480
50576,27008
54736,26864
52336,26880
55616,25904
60224,25200
62144,25792
62176,26592
50064,25216
48128,31168
56224,30928
62176,30672
54544,25696
49616,30064
45104,26592
37440,27504
32448,25504
32832,29600
40528,30272
34976,28048
36320,27216
33392,21424
,23824
,
,
34128,24592
38288,30192
45952,29632
41488,26944
,23360
,
,22688
,29872
34688,32368
39888,36576
46768,41088
47136,33856
51168,38368
45856,44320
42848,36064
37808,39280
39584,42320
41680,39632
52560,46224
49808,40464
42880,38368
38960,33904
46688,43536
40576,29424
47584,32176
52352,36848
54416,36320
63664,39616
60656,44800
43568,25248
37632,30768
36032,38624
40256,47568
48048,58304
57344,63440
63312,61280
68496,60240
70848,46752
61216,40640
60112,45376
68528,47136
67760,46496
51440,45904
49328,50784
60144,38208
50448,38064
60896,34832
56880,38512
58576,38688
60976,31616
46336,25776
39280,26128
32064,22992
,24608
,24912
33760,25072
36352,37312
48544,46176
57568,51440
71936,45456
67536,53104
60208,47536
52560,47136
42976,37616
,36000
35488,39072
43872,33552
,32880
28176,27968
,19120
,
,
,
,
,
,
,
,
,
,21232
,27744
69968,32544
54992,35664
53792,36064
49856,27024
46304,33440
50096,33424
45008,40496
47152,31904
38784,42112
41808,35280
29872,30256
39568,27488
46576,32016
51120,36320
60224,32192
44912,31232
51488,31872
44112,36016
43568,33136
64992,25328
55008,31248
56544,36928
