frame,25px_sum,25px_mean,10px_sum,10px_mean
0,13776,551.04,6544,654.4
1,13936,557.44,6944,694.4
2,13040,521.6,6176,617.6
3,11920,476.8,5824,582.4
4,12528,501.12,6208,620.8
5,12768,510.72,6432,643.2
6,13440,537.6,6592,659.2
7,13744,549.76,6896,689.6
8,12128,485.12,6016,601.6
9,12176,487.04,5840,584.0
10,12064,482.56,5872,587.2
11,9824,392.96,4576,457.6
12,11120,444.8,5616,561.6
13,12080,483.2,5600,560.0
14,11104,444.16,5072,507.2
15,12032,481.28,5776,577.6
16,11776,471.04,5472,547.2
17,13280,531.2,6256,625.6
18,14224,568.96,6800,680.0
19,14624,584.96,7152,715.2
20,13232,529.28,6160,616.0
21,12608,504.32,6144,614.4
22,12672,506.88,6528,652.8
23,12512,500.48,6848,684.8
24,14992,599.68,7648,764.8
25,14976,599.04,7552,755.2
26,14640,585.6,7184,718.4
27,13552,542.08,6592,659.2
28,12384,495.36,5568,556.8
29,13936,557.44,6752,675.2
30,14768,590.72,7184,718.4
31,15200,608.0,7472,747.2
32,13168,526.72,6480,648.0
33,12784,511.36,6176,617.6
34,15040,601.6,7216,721.6
35,13536,541.44,6816,681.6
36,12960,518.4,6192,619.2
37,12224,488.96,5536,553.6
38,12976,519.04,6080,608.0
39,13296,531.84,6400,640.0
40,12832,513.28,6400,640.0
41,12048,481.92,5568,556.8
42,12048,481.92,5856,585.6
43,11024,440.96,5392,539.2
44,12672,506.88,6256,625.6
45,12688,507.52,6064,606.4
46,14000,560.0,7536,753.6
47,11808,472.32,6032,603.2
48,16496,659.84,8672,867.2
49,15072,602.88,7648,764.8
50,16352,654.08,8704,870.4
51,13664,546.56,7216,721.6
52,12816,512.64,6656,665.6
53,14048,561.92,6544,654.4
54,15168,606.72,6992,699.2
55,12848,513.92,6400,640.0
56,13152,526.08,6208,620.8
57,12816,512.64,6128,612.8
58,13056,522.24,6672,667.2
59,13408,536.32,7040,704.0
60,14656,586.24,7872,787.2
61,12736,509.44,6720,672.0
62,13312,532.48,6944,694.4
63,12784,511.36,5856,585.6
64,13184,527.36,6368,636.8
65,13440,537.6,7072,707.2
66,13792,551.68,7312,731.2
67,13376,535.04,7504,750.4
68,12528,501.12,6672,667.2
69,12768,510.72,7152,715.2
70,12432,497.28,6720,672.0
71,12192,487.68,6624,662.4
72,12176,487.04,6608,660.8
73,12992,519.68,7184,718.4
74,11856,474.24,5888,588.8
75,12128,485.12,5840,584.0
76,13408,536.32,7264,726.4
77,12560,502.4,6080,608.0
78,13088,523.52,6896,689.6
79,13136,525.44,6992,699.2
80,12864,514.56,6672,667.2
81,13040,521.6,7104,710.4
82,13472,538.88,7376,737.6
83,10768,430.72,5728,572.8
84,8448,337.92,3776,377.6
85,10048,401.92,4992,499.2
86,9552,382.08,4624,462.4
87,12272,490.88,6016,601.6
88,11904,476.16,5840,584.0
89,12144,485.76,5936,593.6
90,12832,513.28,6880,688.0
91,13568,542.72,7552,755.2
92,13792,551.68,7424,742.4
93,10880,435.2,4992,499.2
94,10016,400.64,4560,456.0
95,11312,452.48,5200,520.0
96,12912,516.48,6832,683.2
97,13552,542.08,7104,710.4
98,14528,581.12,7552,755.2
99,14176,567.04,7072,707.2
100,12288,491.52,5968,596.8
101,11136,445.44,5056,505.6
102,11232,449.28,5120,512.0
103,11200,448.0,5312,531.2
104,12928,517.12,6592,659.2
105,14672,586.88,7616,761.6
106,13392,535.68,6288,628.8
107,10064,402.56,4320,432.0
108,11488,459.52,5392,539.2
109,9376,375.04,4192,419.2
110,9824,392.96,4576,457.6
111,14176,567.04,6976,697.6
112,14752,590.08,7648,764.8
113,12928,517.12,6240,624.0
114,11600,464.0,5472,547.2
115,13712,548.48,7024,702.4
116,14864,594.56,7680,768.0
117,16080,643.2,8448,844.8
