frame,25px_sum,25px_mean,10px_sum,10px_mean
0,35248,1409.92,15552,1555.2
1,43328,1733.12,18976,1897.6
2,47808,1912.32,21344,2134.4
3,53200,2128.0,23744,2374.4
4,54336,2173.44,24416,2441.6
5,54928,2197.12,24208,2420.8
6,71888,2875.52,34464,3446.4
7,72576,2903.04,33360,3336.0
8,65696,2627.84,28352,2835.2
9,56192,2247.68,24960,2496.0
10,59664,2386.56,26736,2673.6
11,61472,2458.88,28208,2820.8
12,55792,2231.68,24640,2464.0
13,66912,2676.48,30736,3073.6
14,62432,2497.28,28672,2867.2
15,70256,2810.24,33408,3340.8
16,73168,2926.72,34448,3444.8
17,75344,3013.76,37200,3720.0
18,74464,2978.56,35584,3558.4
19,81216,3248.64,40640,4064.0
20,82304,3292.16,42128,4212.8
21,79008,3160.32,40704,4070.4
22,52112,2084.48,23952,2395.2
23,47024,1880.96,21424,2142.4
24,56560,2262.4,26368,2636.8
25,41152,1646.08,17984,1798.4
26,43792,1751.68,19328,1932.8
27,35888,1435.52,16160,1616.0
28,42064,1682.56,19008,1900.8
29,39264,1570.56,17536,1753.6
30,39536,1581.44,17472,1747.2
31,54096,2163.84,24224,2422.4
32,62704,2508.16,28192,2819.2
33,83344,3333.76,41520,4152.0
34,70144,2805.76,33328,3332.8
35,65584,2623.36,30000,3000.0
36,76880,3075.2,35696,3569.6
37,76720,3068.8,36704,3670.4
38,87632,3505.28,42848,4284.8
39,76736,3069.44,36272,3627.2
40,73136,2925.44,34272,3427.2
41,67760,2710.4,31872,3187.2
42,70720,2828.8,32800,3280.0
43,62864,2514.56,28032,2803.2
44,56480,2259.2,25376,2537.6
45,54928,2197.12,24400,2440.0
46,48112,1924.48,21104,2110.4
47,48144,1925.76,21360,2136.0
48,50608,2024.32,23136,2313.6
49,50480,2019.2,22560,2256.0
50,62384,2495.36,28848,2884.8
51,69376,2775.04,33744,3374.4
52,74736,2989.44,35728,3572.8
53,71120,2844.8,33600,3360.0
54,62016,2480.64,28688,2868.8
55,50112,2004.48,23328,2332.8
56,42432,1697.28,18784,1878.4
57,45264,1810.56,19936,1993.6
58,41584,1663.36,18544,1854.4
59,39888,1595.52,17984,1798.4
60,48800,1952.0,23312,2331.2
61,65520,2620.8,30016,3001.6
62,75392,3015.68,36416,3641.6
63,84624,3384.96,42944,4294.4
64,83072,3322.88,41360,4136.0
65,80352,3214.08,37792,3779.2
66,89232,3569.28,44656,4465.6
67,73872,2954.88,33648,3364.8
68,78160,3126.4,36880,3688.0
69,86832,3473.28,42928,4292.8
70,85040,3401.6,42528,4252.8
71,80112,3204.48,38944,3894.4
72,71648,2865.92,34256,3425.6
73,67728,2709.12,31216,3121.6
74,63152,2526.08,28512,2851.2
75,52992,2119.68,23936,2393.6
76,46560,1862.4,21168,2116.8
77,43168,1726.72,18640,1864.0
78,39088,1563.52,17088,1708.8
79,39056,1562.24,17264,1726.4
80,50336,2013.44,22464,2246.4
81,60240,2409.6,28192,2819.2
82,68512,2740.48,31968,3196.8
83,69200,2768.0,32144,3214.4
84,61808,2472.32,28896,2889.6
85,51648,2065.92,22896,2289.6
86,42848,1713.92,19408,1940.8
87,41840,1673.6,18864,1886.4
88,38752,1550.08,17504,1750.4
89,38080,1523.2,16272,1627.2
90,43808,1752.32,19152,1915.2
91,59392,2375.68,28176,2817.6
92,72768,2910.72,35200,3520.0
93,68704,2748.16,32512,3251.2
94,47344,1893.76,21728,2172.8
95,46656,1866.24,21664,2166.4
96,53056,2122.24,24512,2451.2
97,61776,2471.04,29408,2940.8
98,65472,2618.88,30832,3083.2
99,71952,2878.08,33936,3393.6
100,67888,2715.52,33040,3304.0
101,68912,2756.48,33168,3316.8
102,72336,2893.44,35792,3579.2
103,70896,2835.84,33264,3326.4
104,70784,2831.36,32880,3288.0
105,55008,2200.32,24544,2454.4
106,54208,2168.32,24528,2452.8
107,43136,1725.44,18816,1881.6
108,47632,1905.28,20896,2089.6
109,43136,1725.44,19248,1924.8
110,42320,1692.8,18560,1856.0
111,39808,1592.32,17200,1720.0
112,48752,1950.08,22432,2243.2
113,49712,1988.48,23152,2315.2
114,50928,2037.12,23200,2320.0
115,45984,1839.36,21264,2126.4
116,40864,1634.56,18800,1880.0
117,49760,1990.4,22912,2291.2
118,54304,2172.16,25184,2518.4
119,53456,2138.24,25328,2532.8
120,42896,1715.84,19136,1913.6
121,58960,2358.4,27440,2744.0
122,68784,2751.36,32704,3270.4
123,66048,2641.92,31488,3148.8
124,92608,3704.32,48352,4835.2
125,89152,3566.08,46160,4616.0
126,87072,3482.88,43920,4392.0
127,98064,3922.56,52080,5208.0
128,83840,3353.6,42352,4235.2
129,81360,3254.4,40144,4014.4
130,71216,2848.64,33616,3361.6
131,68016,2720.64,31840,3184.0
132,67616,2704.64,31056,3105.6
133,57776,2311.04,25760,2576.0
134,61024,2440.96,28032,2803.2
135,59152,2366.08,26768,2676.8
136,57872,2314.88,26256,2625.6
137,55536,2221.44,25936,2593.6
138,68816,2752.64,31344,3134.4
139,68528,2741.12,31600,3160.0
140,77008,3080.32,36352,3635.2
141,73264,2930.56,34944,3494.4
142,71904,2876.16,34192,3419.2
143,72272,2890.88,33296,3329.6
144,61872,2474.88,28464,2846.4
145,42448,1697.92,18880,1888.0
146,42176,1687.04,18432,1843.2
147,38560,1542.4,17024,1702.4
148,37744,1509.76,16624,1662.4
149,36608,1464.32,16464,1646.4
150,32160,1286.4,14160,1416.0
151,43296,1731.84,19984,1998.4
152,46416,1856.64,21584,2158.4
153,67920,2716.8,33760,3376.0
154,61360,2454.4,29168,2916.8
155,56368,2254.72,25984,2598.4
156,62736,2509.44,28896,2889.6
157,74848,2993.92,36432,3643.2
158,85376,3415.04,42944,4294.4
159,82400,3296.0,41504,4150.4
160,75072,3002.88,36880,3688.0
161,66976,2679.04,32128,3212.8
162,60352,2414.08,28624,2862.4
163,53424,2136.96,24656,2465.6
164,44896,1795.84,20512,2051.2
165,41920,1676.8,19232,1923.2
166,46912,1876.48,21168,2116.8
167,41456,1658.24,18784,1878.4
168,39136,1565.44,17856,1785.6
169,41520,1660.8,18688,1868.8
170,45696,1827.84,20064,2006.4
171,44288,1771.52,19728,1972.8
172,48544,1941.76,22400,2240.0
173,47232,1889.28,22416,2241.6
174,47792,1911.68,22400,2240.0
175,39040,1561.6,17936,1793.6
176,36176,1447.04,16464,1646.4
177,28336,1133.44,12288,1228.8
178,24960,998.4,10208,1020.8
179,24672,986.88,10256,1025.6
180,24528,981.12,10240,1024.0
181,24368,974.72,10224,1022.4
182,33088,1323.52,14576,1457.6
183,34272,1370.88,14992,1499.2
184,32704,1308.16,14272,1427.2
185,30960,1238.4,13936,1393.6
186,28448,1137.92,13024,1302.4
187,32352,1294.08,14160,1416.0
188,29920,1196.8,13360,1336.0
189,24832,993.28,10192,1019.2
190,28432,1137.28,12816,1281.6
191,26496,1059.84,11408,1140.8
192,24848,993.92,10416,1041.6
193,24528,981.12,10128,1012.8
