frame,25px_sum,25px_mean,10px_sum,10px_mean
0,33664,1346.56,18352,1835.2
1,36768,1470.72,21696,2169.6
2,42704,1708.16,25216,2521.6
3,42992,1719.68,25216,2521.6
4,42960,1718.4,25072,2507.2
5,45120,1804.8,25792,2579.2
6,43664,1746.56,25088,2508.8
7,40032,1601.28,23632,2363.2
8,40752,1630.08,23456,2345.6
9,40656,1626.24,23776,2377.6
10,30736,1229.44,16448,1644.8
11,37104,1484.16,21136,2113.6
12,32288,1291.52,18144,1814.4
13,33600,1344.0,19136,1913.6
14,32672,1306.88,17712,1771.2
15,31104,1244.16,17040,1704.0
16,24976,999.04,12416,1241.6
17,34768,1390.72,19104,1910.4
18,42208,1688.32,25472,2547.2
19,40656,1626.24,24816,2481.6
20,40640,1625.6,25856,2585.6
21,40832,1633.28,23888,2388.8
22,26240,1049.6,12656,1265.6
23,29424,1176.96,15056,1505.6
24,33712,1348.48,18528,1852.8
25,29872,1194.88,16000,1600.0
26,42656,1706.24,25600,2560.0
27,36928,1477.12,21536,2153.6
28,40256,1610.24,24192,2419.2
29,33520,1340.8,18944,1894.4
30,36944,1477.76,22176,2217.6
31,36256,1450.24,21488,2148.8
32,34592,1383.68,20128,2012.8
33,28320,1132.8,14848,1484.8
34,20464,818.56,9008,900.8
35,29760,1190.4,16544,1654.4
36,38176,1527.04,22720,2272.0
37,44976,1799.04,26272,2627.2
38,36000,1440.0,19920,1992.0
39,33744,1349.76,17968,1796.8
40,32768,1310.72,17648,1764.8
41,35072,1402.88,19472,1947.2
42,26112,1044.48,13360,1336.0
43,26544,1061.76,12784,1278.4
44,32976,1319.04,17568,1756.8
45,34752,1390.08,19728,1972.8
46,30688,1227.52,16288,1628.8
47,32448,1297.92,17712,1771.2
48,31168,1246.72,17344,1734.4
49,23728,949.12,11008,1100.8
50,32864,1314.56,18032,1803.2
51,30512,1220.48,16432,1643.2
52,28592,1143.68,15328,1532.8
53,35008,1400.32,21008,2100.8
54,30720,1228.8,16576,1657.6
55,34384,1375.36,20704,2070.4
56,30784,1231.36,16992,1699.2
57,34016,1360.64,18512,1851.2
58,34688,1387.52,19520,1952.0
59,37696,1507.84,22336,2233.6
60,37440,1497.6,22464,2246.4
61,31232,1249.28,17648,1764.8
62,33680,1347.2,19776,1977.6
63,29600,1184.0,16976,1697.6
64,35632,1425.28,21344,2134.4
65,36304,1452.16,21392,2139.2
66,37616,1504.64,22688,2268.8
67,40176,1607.04,24560,2456.0
68,35936,1437.44,21200,2120.0
69,30864,1234.56,17840,1784.0
70,28368,1134.72,15408,1540.8
71,33200,1328.0,18096,1809.6
72,27344,1093.76,14464,1446.4
73,28800,1152.0,15760,1576.0
