frame,25px_sum,25px_mean,10px_sum,10px_mean
0,18848,753.92,8128,812.8
1,17840,713.6,7424,742.4
2,0,nan,0,nan
3,17680,707.2,7376,737.6
4,21920,876.8,9664,966.4
5,21392,855.68,9456,945.6
6,21504,860.16,9344,934.4
7,21536,861.44,9456,945.6
8,19904,796.16,8480,848.0
9,19456,778.24,8512,851.2
10,19056,762.24,8320,832.0
11,17776,711.04,7456,745.6
12,0,nan,0,nan
13,0,nan,0,nan
14,0,nan,0,nan
15,20512,820.48,8944,894.4
16,0,nan,0,nan
17,0,nan,0,nan
18,18880,755.2,8064,806.4
19,0,nan,0,nan
20,0,nan,0,nan
21,0,nan,0,nan
22,20448,817.92,9152,915.2
23,25712,1028.48,13024,1302.4
24,24160,966.4,11792,1179.2
25,19728,789.12,8592,859.2
26,20752,830.08,9184,918.4
27,21552,862.08,9392,939.2
28,20576,823.04,9136,913.6
29,20960,838.4,9088,908.8
30,21760,870.4,9664,966.4
31,21360,854.4,9264,926.4
32,0,nan,0,nan
33,0,nan,0,nan
34,0,nan,0,nan
35,20704,828.16,9184,918.4
36,23456,938.24,11632,1163.2
37,24240,969.6,12496,1249.6
38,23328,933.12,11872,1187.2
39,21056,842.24,10304,1030.4
40,20272,810.88,9088,908.8
41,20160,806.4,8784,878.4
42,0,nan,0,nan
43,20240,809.6,8672,867.2
44,21392,855.68,9328,932.8
45,21328,853.12,9120,912.0
46,0,nan,0,nan
47,20752,830.08,9248,924.8
48,21552,862.08,9632,963.2
49,21744,869.76,9600,960.0
50,20400,816.0,8944,894.4
51,20032,801.28,8896,889.6
52,20016,800.64,9008,900.8
53,20416,816.64,9104,910.4
54,20432,817.28,9088,908.8
55,19056,762.24,8080,808.0
56,18016,720.64,7600,760.0
57,20000,800.0,8752,875.2
58,21392,855.68,9680,968.0
59,19936,797.44,8816,881.6
60,22016,880.64,10592,1059.2
61,23776,951.04,11856,1185.6
62,26352,1054.08,14256,1425.6
63,24064,962.56,12480,1248.0
64,20480,819.2,9488,948.8
65,19008,760.32,8480,848.0
66,19536,781.44,8544,854.4
67,19824,792.96,8544,854.4
68,0,nan,0,nan
69,19472,778.88,8448,844.8
70,19952,798.08,9168,916.8
71,18640,745.6,7936,793.6
72,19520,780.8,8672,867.2
73,20624,824.96,9248,924.8
74,20704,828.16,9184,918.4
75,21440,857.6,10208,1020.8
76,23472,938.88,11904,1190.4
77,22992,919.68,11408,1140.8
78,24176,967.04,12384,1238.4
79,22400,896.0,10784,1078.4
80,18832,753.28,7952,795.2
81,20944,837.76,9584,958.4
82,21696,867.84,10112,1011.2
83,20768,830.72,9712,971.2
84,19920,796.8,9184,918.4
85,18480,739.2,8048,804.8
86,19152,766.08,8912,891.2
87,19888,795.52,9856,985.6
88,20816,832.64,10480,1048.0
89,20432,817.28,9936,993.6
90,18928,757.12,8688,868.8
91,17920,716.8,7920,792.0
92,16288,651.52,6976,697.6
93,16592,663.68,6912,691.2
