frame,25px_sum,25px_mean,10px_sum,10px_mean
0,27184,1087.36,12320,1232.0
1,25488,1019.52,11552,1155.2
2,0,nan,0,nan
3,39040,1561.6,21360,2136.0
4,40416,1616.64,22144,2214.4
5,38160,1526.4,20544,2054.4
6,33168,1326.72,17088,1708.8
7,37056,1482.24,18608,1860.8
8,42384,1695.36,21232,2123.2
9,39680,1587.2,22560,2256.0
10,34720,1388.8,17200,1720.0
11,24384,975.36,10368,1036.8
12,30544,1221.76,14304,1430.4
13,24480,979.2,10240,1024.0
14,27344,1093.76,12432,1243.2
15,23792,951.68,9904,990.4
16,25408,1016.32,11152,1115.2
17,35024,1400.96,17168,1716.8
18,32768,1310.72,16896,1689.6
19,32640,1305.6,16576,1657.6
20,30832,1233.28,15200,1520.0
21,33648,1345.92,15792,1579.2
22,37040,1481.6,18144,1814.4
23,39888,1595.52,20064,2006.4
24,38352,1534.08,18672,1867.2
25,32976,1319.04,15344,1534.4
26,31504,1260.16,14656,1465.6
27,37696,1507.84,18656,1865.6
28,39424,1576.96,19328,1932.8
29,38448,1537.92,19072,1907.2
30,41952,1678.08,21520,2152.0
31,39472,1578.88,20400,2040.0
32,30400,1216.0,14320,1432.0
33,31824,1272.96,14944,1494.4
34,30416,1216.64,14432,1443.2
35,34064,1362.56,16544,1654.4
36,28096,1123.84,12464,1246.4
37,31952,1278.08,14912,1491.2
38,35792,1431.68,17568,1756.8
39,32240,1289.6,15664,1566.4
40,35584,1423.36,18496,1849.6
41,37616,1504.64,19200,1920.0
42,37424,1496.96,18208,1820.8
43,38416,1536.64,18752,1875.2
44,40912,1636.48,19920,1992.0
45,40240,1609.6,20208,2020.8
46,41120,1644.8,21184,2118.4
47,33792,1351.68,16912,1691.2
48,27344,1093.76,12320,1232.0
49,38432,1537.28,20000,2000.0
50,37776,1511.04,19312,1931.2
51,38576,1543.04,19248,1924.8
52,42080,1683.2,22144,2214.4
53,41696,1667.84,21600,2160.0
54,38976,1559.04,18976,1897.6
55,40704,1628.16,20176,2017.6
56,43472,1738.88,20624,2062.4
57,40240,1609.6,19952,1995.2
58,29456,1178.24,13872,1387.2
59,32496,1299.84,15120,1512.0
60,34512,1380.48,16272,1627.2
61,39200,1568.0,18848,1884.8
62,38144,1525.76,19088,1908.8
63,38608,1544.32,19024,1902.4
64,31376,1255.04,14832,1483.2
65,38160,1526.4,19664,1966.4
66,51168,2046.72,26048,2604.8
67,50048,2001.92,24848,2484.8
68,35344,1413.76,17024,1702.4
69,33360,1334.4,14832,1483.2
70,44192,1767.68,21552,2155.2
71,48848,1953.92,24848,2484.8
72,36304,1452.16,17600,1760.0
73,41472,1658.88,20192,2019.2
74,37776,1511.04,18512,1851.2
75,40832,1633.28,20320,2032.0
76,41456,1658.24,20832,2083.2
77,42480,1699.2,21776,2177.6
78,38864,1554.56,20896,2089.6
79,46256,1850.24,25904,2590.4
80,47776,1911.04,26304,2630.4
81,44896,1795.84,24096,2409.6
82,41424,1656.96,22016,2201.6
83,37600,1504.0,19216,1921.6
84,33312,1332.48,15712,1571.2
85,31424,1256.96,15248,1524.8
86,27184,1087.36,12352,1235.2
87,24672,986.88,10496,1049.6
88,31552,1262.08,14960,1496.0
89,33200,1328.0,15952,1595.2
90,36816,1472.64,17904,1790.4
91,38272,1530.88,18944,1894.4
92,42736,1709.44,21760,2176.0
93,40416,1616.64,19376,1937.6
94,40592,1623.68,20352,2035.2
95,23664,946.56,10016,1001.6
