frame,25px_sum,25px_mean,10px_sum,10px_mean
0,10576,423.04,5952,595.2
1,10512,420.48,5824,582.4
2,10304,412.16,5712,571.2
3,10816,432.64,6224,622.4
4,10784,431.36,5904,590.4
5,11248,449.92,6256,625.6
6,11616,464.64,6464,646.4
7,10608,424.32,5664,566.4
8,9984,399.36,4976,497.6
9,10816,432.64,5744,574.4
10,8768,350.72,4032,403.2
11,8432,337.28,4032,403.2
12,8656,346.24,4208,420.8
13,9808,392.32,5040,504.0
14,9888,395.52,5168,516.8
15,10384,415.36,5744,574.4
16,10832,433.28,5856,585.6
17,10640,425.6,5856,585.6
18,10416,416.64,5584,558.4
19,9968,398.72,5424,542.4
20,9632,385.28,5088,508.8
21,9280,371.2,4928,492.8
22,10208,408.32,5344,534.4
23,10464,418.56,5488,548.8
24,10096,403.84,5648,564.8
25,9632,385.28,5504,550.4
26,9456,378.24,5312,531.2
27,10784,431.36,5952,595.2
28,10912,436.48,5904,590.4
29,9792,391.68,5024,502.4
30,8144,325.76,3648,364.8
31,8256,330.24,3648,364.8
32,8768,350.72,4224,422.4
33,8704,348.16,4640,464.0
34,8736,349.44,4240,424.0
35,9136,365.44,4576,457.6
36,10256,410.24,5632,563.2
37,9536,381.44,5120,512.0
38,9728,389.12,4992,499.2
39,8720,348.8,4528,452.8
40,8352,334.08,4160,416.0
41,9072,362.88,4832,483.2
42,8400,336.0,4368,436.8
43,8176,327.04,4080,408.0
44,9520,380.8,4880,488.0
45,10016,400.64,5360,536.0
46,10112,404.48,5232,523.2
47,9936,397.44,5248,524.8
48,8352,334.08,4272,427.2
49,8016,320.64,4048,404.8
50,8400,336.0,4368,436.8
51,9712,388.48,5136,513.6
52,9968,398.72,5392,539.2
53,9840,393.6,5568,556.8
54,9200,368.0,5088,508.8
55,8608,344.32,4496,449.6
56,8624,344.96,4272,427.2
57,7728,309.12,3584,358.4
58,8144,325.76,4048,404.8
59,9120,364.8,4800,480.0
60,8928,357.12,4624,462.4
61,9264,370.56,5104,510.4
62,8848,353.92,4816,481.6
63,8560,342.4,4592,459.2
64,8304,332.16,4480,448.0
65,9264,370.56,5104,510.4
66,9024,360.96,4944,494.4
67,8944,357.76,4624,462.4
68,7840,313.6,4048,404.8
69,9120,364.8,4960,496.0
70,9136,365.44,4944,494.4
71,9216,368.64,5088,508.8
72,9216,368.64,4880,488.0
73,9424,376.96,5104,510.4
74,9536,381.44,5152,515.2
75,9136,365.44,4960,496.0
76,9216,368.64,4928,492.8
77,8784,351.36,4736,473.6
78,8576,343.04,4448,444.8
79,8512,340.48,4560,456.0
80,8832,353.28,4704,470.4
81,8160,326.4,4256,425.6
82,8496,339.84,4400,440.0
83,8832,353.28,4880,488.0
84,8928,357.12,4928,492.8
85,8784,351.36,4832,483.2
86,8160,326.4,4320,432.0
87,8432,337.28,4304,430.4
88,7904,316.16,4032,403.2
89,6560,262.4,2992,299.2
90,6736,269.44,3200,320.0
91,7280,291.2,3440,344.0
92,7808,312.32,3936,393.6
93,7552,302.08,3824,382.4
94,6848,273.92,3456,345.6
95,6944,277.76,3600,360.0
96,7264,290.56,3792,379.2
97,7568,302.72,3920,392.0
98,7760,310.4,3952,395.2
99,7904,316.16,4256,425.6
100,7680,307.2,3936,393.6
101,7600,304.0,4000,400.0
102,7280,291.2,3648,364.8
103,7120,284.8,3536,353.6
104,6608,264.32,3136,313.6
105,6720,268.8,3328,332.8
106,5568,222.72,2448,244.8
107,6384,255.36,3056,305.6
108,6560,262.4,3056,305.6
109,6960,278.4,3456,345.6
110,6832,273.28,3504,350.4
111,7184,287.36,3792,379.2
112,6320,252.8,3136,313.6
113,6144,245.76,2768,276.8
114,6896,275.84,3424,342.4
115,6928,277.12,3584,358.4
116,6576,263.04,3200,320.0
117,6336,253.44,2976,297.6
118,7088,283.52,3664,366.4
119,6416,256.64,3056,305.6
120,6560,262.4,3168,316.8
121,8672,346.88,4688,468.8
122,8560,342.4,4704,470.4
123,8944,357.76,5088,508.8
124,9488,379.52,5136,513.6
125,8704,348.16,4704,470.4
126,8080,323.2,4336,433.6
127,8960,358.4,4800,480.0
128,9616,384.64,5376,537.6
129,9536,381.44,5184,518.4
130,9728,389.12,5552,555.2
131,9616,384.64,5296,529.6
132,9616,384.64,5392,539.2
133,9168,366.72,4912,491.2
134,8448,337.92,4352,435.2
135,7552,302.08,3952,395.2
136,7504,300.16,4016,401.6
137,8000,320.0,4304,430.4
138,8624,344.96,4768,476.8
139,8464,338.56,4560,456.0
140,8032,321.28,4336,433.6
141,8192,327.68,4368,436.8
142,7920,316.8,3984,398.4
143,7840,313.6,4096,409.6
144,7520,300.8,3712,371.2
145,7808,312.32,4144,414.4
146,8192,327.68,4432,443.2
147,8352,334.08,4512,451.2
148,7408,296.32,3568,356.8
149,7120,284.8,3376,337.6
150,6848,273.92,3200,320.0
151,7792,311.68,4144,414.4
152,7920,316.8,4112,411.2
153,8160,326.4,4448,444.8
154,7312,292.48,3648,364.8
155,7712,308.48,4080,408.0
156,8656,346.24,4672,467.2
157,9088,363.52,4992,499.2
158,8384,335.36,4432,443.2
159,8064,322.56,4192,419.2
160,6640,265.6,3104,310.4
161,7344,293.76,3856,385.6
162,6896,275.84,3360,336.0
163,7168,286.72,3456,345.6
164,7456,298.24,3680,368.0
165,8192,327.68,4352,435.2
166,7056,282.24,3424,342.4
167,6608,264.32,3056,305.6
168,6304,252.16,3040,304.0
169,7024,280.96,3568,356.8
170,6992,279.68,3552,355.2
171,7856,314.24,4192,419.2
172,7824,312.96,4192,419.2
173,7232,289.28,3456,345.6
174,7840,313.6,4128,412.8
175,7920,316.8,4304,430.4
176,8016,320.64,4448,444.8
177,7584,303.36,3904,390.4
178,6848,273.92,3120,312.0
179,7312,292.48,3744,374.4
180,7936,317.44,4112,411.2
181,8240,329.6,4496,449.6
182,8528,341.12,4816,481.6
183,8912,356.48,4992,499.2
184,8192,327.68,4384,438.4
185,8320,332.8,4496,449.6
186,7920,316.8,4080,408.0
187,7472,298.88,3824,382.4
188,8048,321.92,4432,443.2
189,8352,334.08,4608,460.8
190,7888,315.52,4096,409.6
191,7760,310.4,4160,416.0
192,7680,307.2,4048,404.8
193,7760,310.4,4080,408.0
194,7056,282.24,3712,371.2
195,7280,291.2,3776,377.6
196,7232,289.28,3520,352.0
197,8208,328.32,4432,443.2
198,8112,324.48,4576,457.6
199,8176,327.04,4560,456.0
200,8336,333.44,4752,475.2
201,0,nan,0,nan
202,7088,283.52,3776,377.6
203,7008,280.32,3408,340.8
204,6880,275.2,3360,336.0
205,6224,248.96,2832,283.2
206,6736,269.44,3392,339.2
207,6816,272.64,3472,347.2
208,6624,264.96,3568,356.8
209,5904,236.16,2848,284.8
210,6272,250.88,3072,307.2
211,6448,257.92,3120,312.0
212,7232,289.28,3760,376.0
213,6736,269.44,3344,334.4
214,6880,275.2,3440,344.0
215,6192,247.68,3024,302.4
216,5904,236.16,2896,289.6
217,6736,269.44,3408,340.8
218,6800,272.0,3440,344.0
219,7360,294.4,3760,376.0
220,7984,319.36,4320,432.0
221,8256,330.24,4400,440.0
222,8288,331.52,4592,459.2
223,8864,354.56,4976,497.6
224,8848,353.92,4992,499.2
225,8192,327.68,4640,464.0
226,8400,336.0,4848,484.8
227,8736,349.44,5024,502.4
228,8288,331.52,4704,470.4
229,7232,289.28,3600,360.0
230,6880,275.2,3520,352.0
231,7232,289.28,3728,372.8
232,6976,279.04,3424,342.4
233,6656,266.24,3104,310.4
234,7488,299.52,3936,393.6
235,6800,272.0,3232,323.2
236,7040,281.6,3328,332.8
237,7888,315.52,4272,427.2
238,7840,313.6,4112,411.2
239,7968,318.72,4320,432.0
240,7520,300.8,4032,403.2
241,7104,284.16,3856,385.6
242,7328,293.12,3824,382.4
243,7568,302.72,3936,393.6
244,7568,302.72,3920,392.0
245,7968,318.72,4384,438.4
246,7696,307.84,4096,409.6
247,7408,296.32,3840,384.0
248,8096,323.84,4320,432.0
249,8432,337.28,4480,448.0
250,8064,322.56,4336,433.6
251,8400,336.0,4624,462.4
252,8976,359.04,4896,489.6
253,8832,353.28,4880,488.0
254,8720,348.8,4656,465.6
255,8864,354.56,4880,488.0
256,8112,324.48,4384,438.4
257,7776,311.04,4000,400.0
258,7088,283.52,3328,332.8
