frame,25px sum,25px mean,10px sum,10px mean
184,158912,6356.48,69488,6948.8
185,162112,6484.48,70560,7056.0
186,155504,6220.16,66640,6664.0
187,171856,6874.24,77120,7712.0
188,190656,7626.24,84096,8409.6
189,212128,8485.12,97376,9737.6
190,219856,8794.24,101680,10168.0
191,221776,8871.04,102512,10251.2
192,235616,9424.64,109312,10931.2
193,235552,9422.08,107888,10788.8
194,231120,9244.8,103104,10310.4
195,245440,9817.6,112768,11276.8
196,240400,9616.0,110192,11019.2
197,241056,9642.24,110768,11076.8
198,237552,9502.08,108240,10824.0
199,234272,9370.88,109056,10905.6
200,233136,9325.44,107632,10763.2
201,246432,9857.28,111472,11147.2
202,274768,10990.72,137936,13793.6
203,273152,10926.08,136624,13662.4
204,268992,10759.68,138704,13870.4
205,250480,10019.2,127728,12772.8
206,260160,10406.4,131904,13190.4
207,259392,10375.68,127648,12764.8
208,242368,9694.72,114240,11424.0
209,240768,9630.72,114944,11494.4
210,244352,9774.08,118912,11891.2
211,232880,9315.2,111488,11148.8
212,232304,9292.16,112528,11252.8
213,221312,8852.48,104464,10446.4
214,230224,9208.96,110800,11080.0
215,225744,9029.76,109568,10956.8
216,213840,8553.6,101488,10148.8
217,217360,8694.4,103008,10300.8
218,213152,8526.08,102432,10243.2
219,207104,8284.16,96592,9659.2
220,214016,8560.64,101344,10134.4
221,212096,8483.84,101664,10166.4
222,212896,8515.84,101264,10126.4
223,212752,8510.08,102512,10251.2
224,218144,8725.76,104800,10480.0
225,214192,8567.68,102224,10222.4
226,207088,8283.52,96928,9692.8
227,200064,8002.56,92096,9209.6
228,203760,8150.4,92352,9235.2
229,188080,7523.2,81392,8139.2
230,178176,7127.04,75280,7528.0
231,182016,7280.64,78880,7888.0
232,180384,7215.36,78832,7883.2
233,183888,7355.52,79344,7934.4
234,194688,7787.52,84704,8470.4
235,183040,7321.6,79664,7966.4
236,176560,7062.4,77968,7796.8
237,173744,6949.76,78000,7800.0
238,187968,7518.72,86336,8633.6
239,183520,7340.8,85200,8520.0
