timestamp,X_motor,Y_motor,X_centroid,Y_centroid,Curvatures,Angles,Reversals
14:58:08.976297,24125.539125,25047.273375,37899.571125,25551.201375,0.0,0.0,0
14:58:09.076926,24125.301,25052.655,38067.309,25556.583,0.015665476897751312,163.78151096335628,0
14:58:09.177770,24139.445625,25056.94125,37913.477625,25224.91725,0.11119702723780897,104.4038234199863,0
14:58:09.278384,24166.449,25059.751125,37100.601,25227.727125,0.11441392599466989,104.32483987934725,0
14:58:09.380312,24195.643125,25061.32275,20836.123125,24221.44275,0.009071892339784346,169.08221633676058,0
14:58:09.479180,24223.218,25058.1795,20023.818,24218.2995,0.0017698287599233558,177.14084881483964,0
14:58:09.577883,24238.505625,25048.797375,35996.825625,24376.893375,0.005863713467284603,170.41548013577523,0
14:58:09.680612,24242.55375,25043.03475,19203.27375,24371.13075,0.01895267040891438,154.96531718069997,0
14:58:09.779972,24254.317125,25037.034,18879.085125,24365.13,0.03230733716854173,156.62498731744586,0
14:58:09.874486,24255.984,25030.699875,18712.776,22679.035875,0.04746532525425796,152.11435245176392,0
14:58:09.985905,24243.077625,25022.27025,18867.845625,22502.63025,0.08179993837327339,131.77066673496077,0
14:58:10.085100,24216.741,25004.268,37150.893,23660.46,0.10227230043661838,108.40645763705386,0
14:58:10.175181,24190.690125,24989.9805,20159.266125,23646.1725,0.0008884277600325994,178.7956838184713,0
14:58:10.276143,24174.45,24979.40775,37276.578,26155.23975,0.003178146485868881,174.38805626004938,0
14:58:10.375157,24153.114,24974.597625,38095.122,25478.525625,0.003072993561411985,175.6772034566443,0
14:58:10.480997,24144.208125,24980.598375,38254.192125,25652.502375,0.01713793423078353,159.63953766333364,0
14:58:10.577290,24149.827875,24983.694,38259.811875,25655.598,0.048074435373888356,133.32330957263468,0
14:58:10.682515,24170.4495,24991.695,21146.8815,23647.887,0.18395357528215467,62.820022590947616,0
14:58:10.776183,24197.738625,24989.88525,20334.290625,23310.12525,0.009335363592069578,172.35773380536364,0
14:58:10.879604,24213.40725,24975.693,19678.05525,23295.933,0.017496387681451096,155.00004257325935,0
14:58:10.978542,24214.35975,24964.16775,19343.05575,23116.43175,0.027085150018184508,141.62466514599558,0
14:58:11.077118,24200.786625,24950.213625,19833.410625,23270.453625,0.04463268252630768,136.89395088718723,0
14:58:11.176488,24174.307125,24936.6405,19974.907125,23256.8805,0.05303023341913802,131.06851883906992,0
14:58:11.278909,24149.58975,24923.97225,20790.06975,23412.18825,0.013162474783307659,161.3462496185101,0
14:58:11.377995,24125.539125,24911.446875,38571.475125,27095.134875,1.8127584845371544e-06,179.9970123560255,0
14:58:11.479894,24108.06075,24905.636625,38721.97275,27593.252625,0.00023777711294831923,179.6260892339221,0
14:58:11.575917,24105.20325,24914.399625,38551.13925,27434.039625,0.006984570256592862,170.87795700423735,0
14:58:11.678855,24117.01425,24933.9735,21429.39825,23422.1895,0.0973261531770895,89.67237165518289,0
14:58:11.778020,24139.87425,24943.8795,21452.25825,22928.1675,0.05092074220815571,130.83248120644217,0
14:58:11.880998,24152.494875,24939.117,21464.878875,22755.429,0.02549758977326848,144.5357396660884,0
14:58:11.978155,24150.589875,24921.972,21294.997875,22906.26,0.03882413798745727,135.89688243037975,0
14:58:12.077792,24134.111625,24907.113,21446.495625,23059.377,0.0794552436815072,104.33423301497021,0
14:58:12.176407,24115.29975,24892.4445,21931.61175,23044.7085,0.035989919860420445,138.38225021684835,0
14:58:12.281009,24097.249875,24878.680875,38207.233875,30421.888875,0.003105269213646963,175.9031528558206,0
14:58:12.377855,24085.915125,24870.918,38195.899125,29910.198,0.0004637552473682277,179.38150408804393,0
14:58:12.480386,24089.106,24877.776,22409.346,23533.968,0.002797463188014954,177.07951205662974,0
14:58:12.580250,24103.7745,24893.11125,38045.7825,30604.29525,0.12440240788405099,30.64226028436753,0
14:58:12.681525,24111.585,24902.302875,37885.617,30277.534875,0.022597147113260822,161.22454226425518,0
14:58:12.779480,24129.158625,24923.40075,38575.094625,27946.96875,0.003534868851506249,176.62894809449648,0
14:58:12.878454,24157.447875,24948.880125,37763.503875,27300.544125,0.0004973357562370973,179.43692910519852,0
14:58:12.991643,24190.16625,24969.168375,35612.53425,27992.736375,0.0043632200272286994,171.80136912291647,0
14:58:13.077272,24215.69325,24980.93175,20520.22125,24644.97975,0.004646530391950241,169.79400530061613,0
14:58:13.181933,24243.03,24998.172,37009.206,25166.148,0.003698184907398127,172.93871050077547,0
14:58:13.279756,24260.937,25002.601125,18885.705,22482.961125,0.004327591490021023,172.5031644276672,0
14:58:13.379809,24285.22575,24999.553125,18238.08975,22143.961125,0.012548257421391248,161.65466192375644,0
14:58:13.483533,24299.560875,24982.83675,17412.544875,22127.24475,0.017011923837347537,158.95459600923994,0
14:58:13.581161,24299.275125,24963.643875,16740.355125,20764.243875,0.030983543158900215,137.7674036432912,0
14:58:13.691598,24282.034875,24941.545875,16891.090875,20910.121875,0.0343465289981747,138.53228922632954,0
14:58:13.778262,24256.984125,24920.067,17537.944125,20888.643,0.02689965674462751,142.89260364941302,0
14:58:13.880907,24227.837625,24894.25425,18516.653625,20022.95025,0.006526508713046503,168.57063615885102,0
14:58:13.978520,24198.976875,24870.44175,19663.624875,19999.13775,0.0004457235488678798,179.08149123920472,0
14:58:14.080868,24170.020875,24842.43825,20642.524875,20307.08625,0.0009158612664622784,177.99667133553461,0
14:58:14.179506,24144.970125,24816.101625,21625.330125,20448.725625,0.00202855467619602,175.48347813288885,0
