timestamp,X,Y
13:21:06.955685,30567.772875,25035.891000
13:21:07.115523,30572.678250,25030.938000
13:21:07.278126,30578.107500,25025.461125
13:21:07.439658,30583.012875,25019.079375
13:21:07.614573,30588.442125,25012.792875
13:21:07.776966,30593.347500,25006.601625
13:21:07.939710,30598.252875,25000.267500
13:21:08.104492,30603.682125,24994.028625
13:21:08.282293,30608.587500,24988.456500
13:21:08.444137,30613.492875,24984.217875
13:21:08.610807,30617.826750,24980.788875
13:21:08.771926,30621.065250,24978.550500
13:21:08.934533,30623.208375,24977.312250
13:21:09.095884,30624.827625,24975.883500
13:21:09.270857,30626.446875,24975.550125
13:21:09.455071,30627.494625,24975.550125
13:21:09.620297,30628.542375,24975.835875
13:21:09.780382,30629.066250,24976.597875
13:21:09.943014,30628.542375,24979.264875
13:21:10.120312,30627.494625,24981.360375
13:21:10.298087,30626.970750,24980.788875
13:21:10.477872,30626.970750,24978.026625
13:21:10.655675,30627.494625,24974.550000
13:21:10.817909,30627.494625,24969.549375
13:21:10.980242,30628.018500,24964.120125
13:21:11.140052,30629.066250,24957.024000
13:21:11.305857,30630.685500,24949.499250
13:21:11.468679,30632.828625,24940.402875
13:21:11.629768,30635.543250,24929.734875
13:21:11.793768,30638.257875,24918.733500
13:21:11.962131,30640.972500,24907.494000
13:21:12.128456,30644.211000,24896.397375
13:21:12.294815,30647.449500,24885.967500
13:21:12.476988,30650.688000,24875.537625
13:21:12.643319,30653.974125,24863.202750
13:21:12.810318,30658.260375,24851.344125
13:21:12.969364,30661.498875,24838.342500
13:21:13.148165,30664.213500,24826.102875
13:21:13.325501,30666.928125,24811.577250
13:21:13.493330,30669.071250,24796.146750
13:21:13.670112,30670.690500,24778.573125
13:21:13.833566,30671.214375,24760.856625
13:21:14.000136,30671.214375,24742.759125
13:21:14.179743,30670.690500,24725.280750
13:21:14.358343,30669.642750,24710.183625
13:21:14.522262,30668.023500,24696.229500
13:21:14.686956,30665.880375,24681.227625
13:21:14.854777,30662.641875,24664.797000
13:21:15.029553,30658.831875,24648.223500
13:21:15.196793,30654.498000,24631.459500
13:21:15.373169,30650.164125,24614.314500
13:21:15.553952,30645.258750,24598.122000
13:21:15.749543,30640.353375,24582.262875
13:21:15.929459,30635.448000,24565.117875
13:21:16.093362,30631.114125,24549.592125
13:21:16.257706,30626.780250,24533.018625
13:21:16.420100,30623.541750,24517.064250
13:21:16.582736,30620.827125,24501.395625
13:21:16.744633,30618.684000,24485.203125
13:21:16.908338,30616.540875,24468.248625
13:21:17.069639,30614.397750,24448.770000
13:21:17.230867,30612.254625,24430.339125
13:21:17.393059,30610.635375,24412.527375
13:21:17.557719,30609.587625,24398.668500
13:21:17.747982,30608.539875,24385.428750
13:21:17.910481,30606.920625,24370.093500
13:21:18.077189,30604.206000,24354.186750
13:21:18.257957,30601.491375,24337.660875
13:21:18.436845,30596.538375,24320.896875
13:21:18.598538,30591.156750,24303.942375
13:21:18.760187,30584.060625,24287.511750
13:21:18.926255,30575.869125,24273.271875
13:21:19.094047,30566.582250,24258.174750
13:21:19.272340,30558.390750,24246.173250
13:21:19.452679,30552.390000,24237.791250
13:21:19.628466,30546.389250,24229.218750
13:21:19.822205,30540.388500,24221.694000
13:21:19.988265,30534.959250,24216.169500
13:21:20.154956,30530.053875,24211.264125
13:21:20.316173,30525.148500,24207.120750
13:21:20.495440,30518.623875,24201.548625
13:21:20.669698,30512.099250,24195.881250
13:21:20.830957,30505.574625,24190.261500
13:21:20.996008,30499.050000,24184.832250
13:21:21.170188,30492.525375,24178.450500
13:21:21.345549,30486.000750,24171.497250
13:21:21.521790,30478.380750,24163.829625
13:21:21.683756,30471.284625,24156.876375
13:21:21.846076,30464.188500,24149.208750
13:21:22.012849,30457.092375,24140.207625
13:21:22.175650,30449.996250,24131.158875
13:21:22.342453,30442.900125,24122.014875
13:21:22.504284,30435.804000,24112.108875
13:21:22.682147,30428.707875,24102.488625
13:21:22.863972,30421.611750,24092.725500
13:21:23.044631,30414.515625,24082.962375
13:21:23.204940,30408.514875,24073.913625
13:21:23.366787,30405.276375,24068.960625
13:21:23.530736,30404.752500,24068.960625
13:21:23.695382,30405.276375,24071.008500
13:21:23.855703,30407.419500,24074.628000
13:21:24.046476,30409.038750,24077.437875
13:21:24.212266,30410.658000,24080.057250
13:21:24.390131,30413.896500,24085.057875
13:21:24.553899,30417.706500,24090.487125
13:21:24.736131,30421.516500,24095.297250
13:21:24.912461,30425.326500,24101.012250
13:21:25.071200,30429.660375,24107.251125
13:21:25.232948,30432.422625,24109.965750
13:21:25.396820,30433.994250,24110.680125
13:21:25.570354,30433.470375,24108.537000
13:21:25.746846,30432.422625,24105.012750
13:21:25.911210,30430.803375,24100.297875
13:21:26.077192,30428.088750,24093.297000
13:21:26.255959,30423.754875,24084.915000
13:21:26.420770,30417.754125,24073.485000
13:21:26.582511,30410.658000,24060.054750
13:21:26.744391,30402.990375,24047.338875
13:21:26.919678,30395.941875,24035.670750
13:21:27.082434,30391.560375,24028.765125
13:21:27.255790,30389.988750,24027.765000
13:21:27.417102,30388.941000,24028.098375
13:21:27.606946,30389.464875,24030.384375
13:21:27.768266,30390.512625,24033.622875
13:21:27.927103,30392.655750,24038.575875
13:21:28.104289,30395.370375,24044.910000
13:21:28.278950,30397.513500,24049.101000
13:21:28.440639,30399.132750,24050.053500
13:21:28.604323,30400.180500,24049.720125
13:21:28.766069,30399.656625,24047.005500
13:21:28.926936,30398.037375,24042.052500
13:21:29.092686,30396.418125,24035.861250
13:21:29.255575,30393.703500,24028.765125
13:21:29.419733,30390.465000,24020.526000
13:21:29.585095,30387.750375,24009.905625
13:21:29.746956,30383.940375,23998.618500
13:21:29.922692,30380.130375,23986.950375
13:21:30.090319,30377.415750,23974.996500
13:21:30.251720,30374.701125,23964.757125
13:21:30.415090,30371.986500,23953.089000
13:21:30.579907,30369.843375,23942.563875
13:21:30.756173,30367.700250,23932.134000
13:21:30.918546,30364.985625,23921.227875
13:21:31.093858,30362.271000,23909.702625
13:21:31.260654,30359.556375,23899.368000
13:21:31.435963,30357.413250,23887.128375
13:21:31.597441,30355.270125,23873.936250
13:21:31.759886,30353.650875,23860.839375
13:21:31.923352,30352.603125,23846.837625
13:21:32.088330,30352.079250,23828.787750
13:21:32.251189,30352.650750,23811.595125
13:21:32.413588,30353.698500,23794.593000
13:21:32.574018,30354.698625,23782.639125
13:21:32.747881,30356.841750,23768.780250
13:21:32.912159,30359.556375,23756.445375
13:21:33.073473,30362.794875,23742.253125
13:21:33.252296,30367.700250,23726.727375
13:21:33.419585,30373.129500,23710.296750
13:21:33.595381,30379.654125,23693.961375
13:21:33.771184,30386.750250,23679.816750
13:21:33.966086,30394.417875,23665.386375
13:21:34.140608,30403.657125,23645.383875
13:21:34.302523,30413.467875,23625.714750
13:21:34.477619,30422.183250,23609.427000
13:21:34.640360,30430.422375,23590.805625
13:21:34.803598,30438.566250,23569.660125
13:21:34.965957,30444.567000,23546.228625
13:21:35.139950,30450.567750,23523.702000
13:21:35.300628,30455.473125,23502.080250
13:21:35.464334,30458.187750,23481.363375
13:21:35.628227,30459.235500,23462.456250
13:21:35.790739,30459.759375,23443.168125
13:21:35.959847,30459.235500,23425.308750
13:21:36.124555,30458.711625,23407.639875
13:21:36.286388,30458.140125,23389.732875
13:21:36.462141,30457.140000,23373.016500
13:21:36.636996,30456.616125,23355.585750
13:21:36.811030,30456.092250,23339.583750
13:21:36.971278,30455.568375,23323.962750
13:21:37.139317,30455.568375,23308.484625
13:21:37.314107,30456.092250,23293.054125
13:21:37.475415,30457.140000,23278.195125
13:21:37.650996,30457.663875,23262.240750
13:21:37.827656,30457.140000,23245.191000
13:21:37.990994,30455.520750,23227.141125
13:21:38.168270,30452.806125,23209.758000
13:21:38.342996,30450.663000,23196.756375
13:21:38.506840,30448.519875,23184.231000
13:21:38.684097,30446.376750,23173.420125
13:21:38.848274,30444.757500,23165.800125
13:21:39.015182,30443.709750,23159.466000
13:21:39.176368,30444.757500,23158.132500
13:21:39.339782,30445.805250,23155.989375
13:21:39.503595,30446.329125,23154.513000
13:21:39.667444,30447.376875,23154.513000
13:21:39.831337,30447.900750,23153.941500
13:21:39.995150,30447.900750,23151.750750
13:21:40.173290,30446.281500,23146.940625
13:21:40.336133,30443.043000,23139.939750
13:21:40.516989,30439.233000,23132.319750
13:21:40.680541,30434.899125,23123.937750
13:21:40.843139,30428.898375,23114.936625
13:21:41.005406,30421.802250,23104.983000
13:21:41.167852,30414.182250,23095.362750
13:21:41.345039,30407.038500,23088.314250
13:21:41.508487,30401.656875,23082.789750
13:21:41.690205,30400.037625,23080.694250
13:21:41.851468,30398.989875,23079.360750
13:21:42.015526,30397.323000,23077.932000
13:21:42.207233,30396.322875,23077.170000
13:21:42.371340,30393.608250,23074.503000
13:21:42.549298,30387.607500,23068.788000
13:21:42.724896,30381.082875,23062.549125
13:21:42.899761,30373.462875,23055.500625
13:21:43.060989,30365.271375,23048.785500
13:21:43.236456,30357.079875,23041.689375
13:21:43.398245,30348.364500,23034.117000
13:21:43.561232,30341.268375,23027.211375
13:21:43.751334,30333.648375,23020.020000
13:21:43.914655,30325.409250,23012.495250
13:21:44.095169,30317.265375,23004.208500
13:21:44.270706,30311.836125,22999.255500
13:21:44.436568,30307.502250,22995.826500
13:21:44.615955,30304.263750,22993.731000
13:21:44.785357,30304.263750,22994.064375
