timestamp,X_motor,Y_motor,X_centroid,Y_centroid
14:58:08.776585,24161.162625,25045.701750,21305.570625,24877.725750
14:58:08.877226,24140.493375,25044.130125,37410.597375,25548.058125
14:58:08.976297,24125.539125,25047.273375,37899.571125,25551.201375
14:58:09.076926,24125.301000,25052.655000,38067.309000,25556.583000
14:58:09.177770,24139.445625,25056.941250,37913.477625,25224.917250
14:58:09.278384,24166.449000,25059.751125,37100.601000,25227.727125
14:58:09.380312,24195.643125,25061.322750,20836.123125,24221.442750
14:58:09.479180,24223.218000,25058.179500,20023.818000,24218.299500
14:58:09.577883,24238.505625,25048.797375,35996.825625,24376.893375
14:58:09.680612,24242.553750,25043.034750,19203.273750,24371.130750
14:58:09.779972,24254.317125,25037.034000,18879.085125,24365.130000
14:58:09.874486,24255.984000,25030.699875,18712.776000,22679.035875
14:58:09.985905,24243.077625,25022.270250,18867.845625,22502.630250
14:58:10.085100,24216.741000,25004.268000,37150.893000,23660.460000
14:58:10.175181,24190.690125,24989.980500,20159.266125,23646.172500
14:58:10.276143,24174.450000,24979.407750,37276.578000,26155.239750
14:58:10.375157,24153.114000,24974.597625,38095.122000,25478.525625
14:58:10.480997,24144.208125,24980.598375,38254.192125,25652.502375
14:58:10.577290,24149.827875,24983.694000,38259.811875,25655.598000
14:58:10.682515,24170.449500,24991.695000,21146.881500,23647.887000
14:58:10.776183,24197.738625,24989.885250,20334.290625,23310.125250
14:58:10.879604,24213.407250,24975.693000,19678.055250,23295.933000
14:58:10.978542,24214.359750,24964.167750,19343.055750,23116.431750
14:58:11.077118,24200.786625,24950.213625,19833.410625,23270.453625
14:58:11.176488,24174.307125,24936.640500,19974.907125,23256.880500
14:58:11.278909,24149.589750,24923.972250,20790.069750,23412.188250
14:58:11.377995,24125.539125,24911.446875,38571.475125,27095.134875
14:58:11.479894,24108.060750,24905.636625,38721.972750,27593.252625
14:58:11.575917,24105.203250,24914.399625,38551.139250,27434.039625
14:58:11.678855,24117.014250,24933.973500,21429.398250,23422.189500
14:58:11.778020,24139.874250,24943.879500,21452.258250,22928.167500
14:58:11.880998,24152.494875,24939.117000,21464.878875,22755.429000
14:58:11.978155,24150.589875,24921.972000,21294.997875,22906.260000
14:58:12.077792,24134.111625,24907.113000,21446.495625,23059.377000
14:58:12.176407,24115.299750,24892.444500,21931.611750,23044.708500
14:58:12.281009,24097.249875,24878.680875,38207.233875,30421.888875
14:58:12.377855,24085.915125,24870.918000,38195.899125,29910.198000
14:58:12.480386,24089.106000,24877.776000,22409.346000,23533.968000
14:58:12.580250,24103.774500,24893.111250,38045.782500,30604.295250
14:58:12.681525,24111.585000,24902.302875,37885.617000,30277.534875
14:58:12.779480,24129.158625,24923.400750,38575.094625,27946.968750
14:58:12.878454,24157.447875,24948.880125,37763.503875,27300.544125
14:58:12.991643,24190.166250,24969.168375,35612.534250,27992.736375
14:58:13.077272,24215.693250,24980.931750,20520.221250,24644.979750
14:58:13.181933,24243.030000,24998.172000,37009.206000,25166.148000
14:58:13.279756,24260.937000,25002.601125,18885.705000,22482.961125
14:58:13.379809,24285.225750,24999.553125,18238.089750,22143.961125
14:58:13.483533,24299.560875,24982.836750,17412.544875,22127.244750
14:58:13.581161,24299.275125,24963.643875,16740.355125,20764.243875
14:58:13.691598,24282.034875,24941.545875,16891.090875,20910.121875
14:58:13.778262,24256.984125,24920.067000,17537.944125,20888.643000
14:58:13.880907,24227.837625,24894.254250,18516.653625,20022.950250
14:58:13.978520,24198.976875,24870.441750,19663.624875,19999.137750
14:58:14.080868,24170.020875,24842.438250,20642.524875,20307.086250
14:58:14.179506,24144.970125,24816.101625,21625.330125,20448.725625
14:58:14.280590,24123.777000,24790.098375,22444.017000,20926.650375
14:58:14.382225,24107.965500,24765.190500,38049.973500,32324.110500
14:58:14.479216,24099.154875,24748.521750,38377.114875,32811.369750
14:58:14.580443,24104.917500,24745.854750,38550.853500,32808.702750
14:58:14.681590,24125.110500,24758.094375,38403.070500,32652.966375
14:58:14.779813,24154.018875,24783.811875,38096.026875,32006.779875
14:58:14.881124,24183.546375,24812.767875,22335.810375,19941.463875
14:58:14.981849,24211.026000,24839.199750,21859.362000,18960.039750
14:58:15.081875,24225.789750,24850.867875,21538.173750,18299.803875
14:58:15.188338,24225.504000,24847.343625,21705.864000,17960.327625
14:58:15.284816,24211.835625,24830.960625,22196.123625,17943.944625
14:58:15.377401,24194.928750,24803.671500,22851.120750,18420.583500
14:58:15.480670,24180.307875,24774.429750,23172.451875,19063.245750
14:58:15.576435,24171.402000,24745.569000,37273.530000,31968.537000
14:58:15.687179,24165.925125,24719.851500,37771.981125,32278.771500
14:58:15.787455,24175.354875,24710.183625,24007.378875,21182.687625
14:58:15.879145,24196.357500,24709.421625,23692.429500,21349.901625
14:58:15.980606,24208.454250,24695.896125,23368.574250,21504.352125
14:58:16.072483,24205.977750,24673.845750,23368.574250,21504.352125
14:58:16.173498,24200.929500,24660.129750,23368.574250,21504.352125
14:58:16.272916,24200.929500,24658.653375,23368.574250,21504.352125
14:58:16.372672,24200.929500,24658.653375,23368.574250,21504.352125
14:58:16.473098,24200.929500,24658.653375,23368.574250,21504.352125
14:58:16.575978,24200.929500,24658.653375,23368.574250,21504.352125
14:58:16.676742,24200.929500,24658.653375,23368.574250,21504.352125
14:58:16.775777,24200.929500,24658.653375,23368.574250,21504.352125
14:58:16.874028,24200.929500,24658.653375,23368.574250,21504.352125
14:58:16.974009,24200.929500,24658.653375,23368.574250,21504.352125
