a,time,aligned_time
1.0001957652515605,0.0,-21.0
0.992343348435838,0.1,-20.9
0.9679981339771008,0.2,-20.8
0.930523753654391,0.3,-20.7
0.8881702329884745,0.4,-20.6
0.8523268800319864,0.5,-20.5
0.834105868278577,0.6,-20.4
0.8404769681569746,0.7,-20.3
0.8714347805314312,0.8,-20.2
0.9193202700416546,0.9,-20.1
0.970679244007336,1.0,-20.0
1.010139247166565,1.1,-19.9
1.0249529679949183,1.2,-19.8
1.0085077371124078,1.3,-19.7
0.961612295762376,1.4,-19.6
0.8915579648956633,1.5,-19.5
0.8099810784522835,1.6,-19.4
0.7306330507220615,1.7,-19.3
0.6673762170622632,1.8,-19.2
0.632012508736048,1.9,-19.1
0.631754412097238,2.0,-19.0
0.6670763447152173,2.1,-18.9
0.7312586186432566,2.2,-18.8
0.8123253385390452,2.3,-18.7
0.8966416405792986,2.4,-18.6
0.9724021929780142,2.5,-18.5
1.031518266573147,2.6,-18.4
1.0697181720017606,2.7,-18.3
1.085846488377077,2.8,-18.2
1.0814411997294124,2.9,-18.1
1.0607537830535945,3.0,-18.0
1.0303924521947998,3.1,-17.9
0.9977238003876652,3.2,-17.8
0.9682567133594976,3.3,-17.7
0.9435483666838216,3.4,-17.6
0.9213753850639448,3.5,-17.5
0.8984588855595128,3.6,-17.4
0.8739416273536577,3.7,-17.3
0.8509730324976397,3.8,-17.2
0.8351192959002525,3.9,-17.1
0.8308354026427379,4.0,-17.0
0.8387381391392698,4.1,-16.9
0.8556308672615387,4.2,-16.8
0.876923279181917,4.3,-16.7
0.8992535007918645,4.4,-16.6
0.9211712951692098,4.5,-16.5
0.941485425197643,4.6,-16.4
0.9569002124143748,4.7,-16.3
0.9613718227691715,4.8,-16.2
0.94857872497514,4.9,-16.1
0.9165983502477336,5.0,-16.0
0.8717986970262784,5.1,-15.9
0.8286794045733124,5.2,-15.8
0.8045259146611997,5.3,-15.7
0.81114347269348,5.4,-15.6
0.8482700200461042,5.5,-15.5
0.902676039422614,5.6,-15.4
0.9536902084237664,5.7,-15.3
0.98222644127383,5.8,-15.2
0.9787569549108271,5.9,-15.1
0.9467118226999284,6.0,-15.0
0.9002433524943182,6.1,-14.9
0.857598061897889,6.2,-14.8
0.8328531817893661,6.3,-14.7
