a,time,aligned_time
1.0755418719146832,0.0,-39.9
1.169927524557889,0.1,-39.8
1.2537336603133804,0.2,-39.699999999999996
1.3125141385421597,0.3,-39.6
1.3400636046361922,0.4,-39.5
1.338835878852347,0.5,-39.4
1.3173731609204826,0.6,-39.3
1.286566012544066,0.7,-39.199999999999996
1.2563108178014537,0.8,-39.1
1.2332686795241892,0.9,-39.0
1.219822173163861,1.0,-38.9
1.2142400142603806,1.1,-38.8
1.212081896577104,1.2,-38.699999999999996
1.208524367022387,1.3,-38.6
1.2006540042554794,1.4,-38.5
1.188502731306611,1.5,-38.4
1.1742031040237797,1.6,-38.3
1.159861632071009,1.7,-38.199999999999996
1.1456807735674155,1.8,-38.1
1.1297195745659452,1.9,-38.0
1.1095266084356474,2.0,-37.9
1.084590717487924,2.1,-37.8
1.058044792572404,2.2,-37.699999999999996
1.036537319021763,2.3,-37.6
1.0281693280846689,2.4,-37.5
1.0392334806265369,2.5,-37.4
1.0709317688470432,2.6,-37.3
1.11741704888004,2.7,-37.199999999999996
1.1664123019989363,2.8,-37.1
1.2030041786132135,2.9,-37.0
1.215772894561943,3.0,-36.9
1.202688027552279,3.1,-36.8
1.17340817330891,3.2,-36.699999999999996
1.1458712462399383,3.3,-36.6
1.1381166760615702,3.4,-36.5
1.1593378310751,3.5,-36.4
1.2050235287997608,3.6,-36.3
1.258877888863965,3.7,-36.199999999999996
1.3003465985269032,3.8,-36.1
1.3135708957003314,3.9,-36.0
1.2932779168052877,4.0,-35.9
1.2453691096433146,4.1,-35.8
1.1830289122695845,4.2,-35.699999999999996
1.1211149799288596,4.3,-35.6
1.0715885282325226,4.4,-35.5
1.0413374590927151,4.5,-35.4
1.032143954724691,4.6,-35.3
1.0417212392180355,4.7,-35.199999999999996
1.064911548923525,4.8,-35.1
1.0948106874638182,4.9,-35.0
1.1240566135705448,5.0,-34.9
1.1464139680910994,5.1,-34.8
1.1582745288588998,5.2,-34.699999999999996
1.159330933357386,5.3,-34.6
1.1519293773714856,5.4,-34.5
1.139387638023814,5.5,-34.4
1.1242989226291051,5.6,-34.3
1.107896897288704,5.7,-34.199999999999996
1.0907676435198903,5.8,-34.1
1.074099713799396,5.9,-34.0
1.0601419011509492,6.0,-33.9
1.0511001165791485,6.1,-33.8
1.0470311063724105,6.2,-33.699999999999996
1.044377745255794,6.3,-33.6
1.0366983389043285,6.4,-33.5
1.0177823524865162,6.5,-33.4
0.9856150455993244,6.6,-33.3
0.944806364036256,6.7,-33.199999999999996
0.9058060121244822,6.8,-33.1
0.8810542014683813,6.9,-33.0
0.8799585587976784,7.0,-32.9
0.905149080800835,7.1,-32.8
0.9516082700421864,7.2,-32.699999999999996
1.0086957506760172,7.3,-32.6
1.0638166663874138,7.4,-32.5
1.1061366535530066,7.5,-32.4
1.129209988616946,7.6,-32.3
1.1321017444953554,7.7,-32.199999999999996
1.119066707731167,7.8,-32.1
1.098017282121157,7.9,-32.0
1.078096813074041,8.0,-31.9
1.0668601845140957,8.1,-31.799999999999997
1.0677966343819971,8.2,-31.7
1.0789993503049835,8.3,-31.599999999999998
1.0935455509608347,8.4,-31.5
1.1016614176007582,8.5,-31.4
1.0941864271919757,8.6,-31.299999999999997
1.0663625302092954,8.7,-31.2
1.0206644953403967,8.8,-31.099999999999998
0.9674072523161232,8.9,-31.0
0.9223959896389092,9.0,-30.9
0.9019578894285496,9.1,-30.799999999999997
0.9169619193166244,9.2,-30.7
0.9682278870713174,9.3,-30.599999999999998
1.045453802268655,9.4,-30.5
1.1303792045798162,9.5,-30.4
1.2029772846377915,9.6,-30.299999999999997
1.248038443946708,9.7,-30.2
1.2593717730320435,9.8,-30.099999999999998
1.240112703284412,9.9,-30.0
1.1995838047252951,10.0,-29.9
1.1487156164704189,10.1,-29.799999999999997
1.0963611650962697,10.2,-29.7
1.0478543918149832,10.3,-29.599999999999998
1.0056170146728407,10.4,-29.5
0.9705546154967728,10.5,-29.4
0.9429941985280365,10.6,-29.299999999999997
0.9227872401463076,10.7,-29.2
0.9091140237068348,10.8,-29.099999999999998
0.900714980751649,10.9,-29.0
0.8966777209750217,11.0,-28.9
0.8971492533335053,11.1,-28.799999999999997
0.9031721651347272,11.2,-28.7
0.9155120921847052,11.3,-28.599999999999998
0.9333351706781412,11.4,-28.5
0.9540064485256606,11.5,-28.4
0.9746010643341776,11.6,-28.299999999999997
0.9943255309045932,11.7,-28.2
1.0160126608586348,11.8,-28.099999999999998
1.04514391829502,11.9,-28.0
1.0864575217233496,12.0,-27.9
1.1400059252274324,12.1,-27.799999999999997
1.199139748733784,12.2,-27.7
1.2517925630869082,12.3,-27.599999999999998
1.2844420455547132,12.4,-27.5
1.2867120114302992,12.5,-27.4
1.2546394474022344,12.6,-27.299999999999997
1.1917626573243416,12.7,-27.2
1.108244375610194,12.8,-27.099999999999998
1.0185153888697207,12.9,-27.0
0.9377533124332232,13.0,-26.9
0.8777179874763146,13.1,-26.799999999999997
0.8432309583989263,13.2,-26.7
0.8310843952687645,13.3,-26.599999999999998
0.832418338709086,13.4,-26.5
0.8376944919689213,13.5,-26.4
0.8416565800045462,13.6,-26.299999999999997
0.8455528665331963,13.7,-26.2
0.8556066267436921,13.8,-26.099999999999998
0.8789887923530659,13.9,-26.0
0.9197573387209514,14.0,-25.9
0.9767472416786144,14.1,-25.799999999999997
1.0439038549957838,14.2,-25.7
1.1122470308781,14.3,-25.599999999999998
1.172231914580434,14.4,-25.5
1.2156172152450118,14.5,-25.4
1.2365447683561532,14.6,-25.299999999999997
1.2319890649277074,14.7,-25.2
1.2019522235189264,14.8,-25.099999999999998
1.149753871553837,14.9,-25.0
1.0824541890707278,15.0,-24.9
1.0109314509060263,15.1,-24.799999999999997
0.9487754254046136,15.2,-24.7
0.9094268827611242,15.3,-24.599999999999998
0.9020228430142936,15.4,-24.5
0.927642389824847,15.5,-24.4
0.9780956443724366,15.6,-24.299999999999997
1.0384357528946364,15.7,-24.2
1.0923827855755488,15.8,-24.099999999999998
1.1280885813289212,15.9,-24.0
1.141410083859793,16.0,-23.9
1.135363851471986,16.1,-23.799999999999997
1.1167077096744642,16.2,-23.7
1.092100571032825,16.3,-23.599999999999998
1.066061992100594,16.4,-23.5
1.041275495663316,16.5,-23.4
1.0199675764342877,16.6,-23.299999999999997
1.0044947662879122,16.7,-23.2
0.996265057741574,16.8,-23.099999999999998
0.993866550475435,16.9,-23.0
0.9923494152901482,17.0,-22.9
0.9850707602445816,17.1,-22.799999999999997
0.967664768157504,17.2,-22.7
0.9418801947153506,17.3,-22.599999999999998
0.9166208044619172,17.4,-22.5
0.9049657874453708,17.5,-22.4
0.91837393385356,17.6,-22.299999999999997
