frame,order,x,y,angle,segment_position,intensity
0,1,426,365,133.45184230102205,0.0,2880
0,1,426,365,133.45184230102205,0.025,2912
0,1,426,365,133.45184230102205,0.05,2928
0,1,426,365,133.45184230102205,0.07500000000000001,2912
0,1,426,365,133.45184230102205,0.1,2800
0,1,426,365,133.45184230102205,0.125,2992
0,1,426,365,133.45184230102205,0.15000000000000002,3424
0,1,426,365,133.45184230102205,0.17500000000000002,3872
0,1,426,365,133.45184230102205,0.2,3712
0,1,426,365,133.45184230102205,0.225,3744
0,1,426,365,133.45184230102205,0.25,3744
0,1,426,365,133.45184230102205,0.275,3680
0,1,426,365,133.45184230102205,0.30000000000000004,3424
0,1,426,365,133.45184230102205,0.325,3328
0,1,426,365,133.45184230102205,0.35000000000000003,3488
0,1,426,365,133.45184230102205,0.375,4064
0,1,426,365,133.45184230102205,0.4,4832
0,1,426,365,133.45184230102205,0.42500000000000004,7072
0,1,426,365,133.45184230102205,0.45,8848
0,1,426,365,133.45184230102205,0.47500000000000003,10128
0,1,426,365,133.45184230102205,0.5,10128
0,1,426,365,133.45184230102205,0.525,9056
0,1,426,365,133.45184230102205,0.55,6352
0,1,426,365,133.45184230102205,0.5750000000000001,3824
0,1,426,365,133.45184230102205,0.6000000000000001,3248
0,1,426,365,133.45184230102205,0.625,3072
0,1,426,365,133.45184230102205,0.65,3024
0,1,426,365,133.45184230102205,0.675,2960
0,1,426,365,133.45184230102205,0.7000000000000001,2816
0,1,426,365,133.45184230102205,0.7250000000000001,2816
0,1,426,365,133.45184230102205,0.75,2816
0,1,426,365,133.45184230102205,0.775,2912
0,1,426,365,133.45184230102205,0.8,2720
0,1,426,365,133.45184230102205,0.8250000000000001,3088
0,1,426,365,133.45184230102205,0.8500000000000001,2896
0,1,426,365,133.45184230102205,0.875,3056
0,1,426,365,133.45184230102205,0.9,2816
0,1,426,365,133.45184230102205,0.925,2896
0,1,426,365,133.45184230102205,0.9500000000000001,3136
0,1,426,365,133.45184230102205,0.9750000000000001,3136
0,2,429,339,159.92232206402616,0.0,2976
0,2,429,339,159.92232206402616,0.025,2896
0,2,429,339,159.92232206402616,0.05,2912
0,2,429,339,159.92232206402616,0.07500000000000001,3008
0,2,429,339,159.92232206402616,0.1,2816
0,2,429,339,159.92232206402616,0.125,3056
0,2,429,339,159.92232206402616,0.15000000000000002,3024
0,2,429,339,159.92232206402616,0.17500000000000002,3072
0,2,429,339,159.92232206402616,0.2,3680
0,2,429,339,159.92232206402616,0.225,5280
0,2,429,339,159.92232206402616,0.25,7456
0,2,429,339,159.92232206402616,0.275,8432
0,2,429,339,159.92232206402616,0.30000000000000004,7840
0,2,429,339,159.92232206402616,0.325,5888
0,2,429,339,159.92232206402616,0.35000000000000003,3888
0,2,429,339,159.92232206402616,0.375,3344
0,2,429,339,159.92232206402616,0.4,3056
0,2,429,339,159.92232206402616,0.42500000000000004,2896
0,2,429,339,159.92232206402616,0.45,3344
0,2,429,339,159.92232206402616,0.47500000000000003,2976
0,2,429,339,159.92232206402616,0.5,3232
0,2,429,339,159.92232206402616,0.525,3392
0,2,429,339,159.92232206402616,0.55,3168
0,2,429,339,159.92232206402616,0.5750000000000001,3616
0,2,429,339,159.92232206402616,0.6000000000000001,4704
0,2,429,339,159.92232206402616,0.625,6096
0,2,429,339,159.92232206402616,0.65,7152
0,2,429,339,159.92232206402616,0.675,6592
0,2,429,339,159.92232206402616,0.7000000000000001,5184
0,2,429,339,159.92232206402616,0.7250000000000001,4336
0,2,429,339,159.92232206402616,0.75,3184
0,2,429,339,159.92232206402616,0.775,3360
0,2,429,339,159.92232206402616,0.8,2672
0,2,429,339,159.92232206402616,0.8250000000000001,2976
0,2,429,339,159.92232206402616,0.8500000000000001,2912
0,2,429,339,159.92232206402616,0.875,3008
0,2,429,339,159.92232206402616,0.9,2640
0,2,429,339,159.92232206402616,0.925,2928
0,2,429,339,159.92232206402616,0.9500000000000001,2912
0,2,429,339,159.92232206402616,0.9750000000000001,2720
0,3,423,314,150.86202026199547,0.0,2784
0,3,423,314,150.86202026199547,0.025,2816
0,3,423,314,150.86202026199547,0.05,2992
0,3,423,314,150.86202026199547,0.07500000000000001,2816
0,3,423,314,150.86202026199547,0.1,2816
0,3,423,314,150.86202026199547,0.125,2800
0,3,423,314,150.86202026199547,0.15000000000000002,2880
0,3,423,314,150.86202026199547,0.17500000000000002,2880
0,3,423,314,150.86202026199547,0.2,3552
0,3,423,314,150.86202026199547,0.225,4160
0,3,423,314,150.86202026199547,0.25,6672
0,3,423,314,150.86202026199547,0.275,11072
0,3,423,314,150.86202026199547,0.30000000000000004,13424
0,3,423,314,150.86202026199547,0.325,13072
0,3,423,314,150.86202026199547,0.35000000000000003,9248
0,3,423,314,150.86202026199547,0.375,6160
0,3,423,314,150.86202026199547,0.4,4384
0,3,423,314,150.86202026199547,0.42500000000000004,3344
0,3,423,314,150.86202026199547,0.45,3472
0,3,423,314,150.86202026199547,0.47500000000000003,3232
0,3,423,314,150.86202026199547,0.5,3120
0,3,423,314,150.86202026199547,0.525,3072
0,3,423,314,150.86202026199547,0.55,2976
0,3,423,314,150.86202026199547,0.5750000000000001,3424
0,3,423,314,150.86202026199547,0.6000000000000001,3696
0,3,423,314,150.86202026199547,0.625,4624
0,3,423,314,150.86202026199547,0.65,5408
0,3,423,314,150.86202026199547,0.675,5504
0,3,423,314,150.86202026199547,0.7000000000000001,4608
0,3,423,314,150.86202026199547,0.7250000000000001,4496
0,3,423,314,150.86202026199547,0.75,4064
